"Storage 151817 - RawData - C:\Documents and Settings\user\My Documents\Adam_Hughes\11_5_12\25nm_np\NPConcentration\File_121105_151817.spc"
"Wavelength nm.","Abs."
400.00000,0.12280
400.50000,0.12497
401.00000,0.12695
401.50000,0.12637
402.00000,0.12828
402.50000,0.12637
403.00000,0.12585
403.50000,0.12558
404.00000,0.12486
404.50000,0.12790
405.00000,0.12769
405.50000,0.12781
406.00000,0.12537
406.50000,0.12883
407.00000,0.12363
407.50000,0.12106
408.00000,0.12344
408.50000,0.12527
409.00000,0.12309
409.50000,0.12340
410.00000,0.12720
410.50000,0.12341
411.00000,0.12360
411.50000,0.12740
412.00000,0.12540
412.50000,0.12399
413.00000,0.12352
413.50000,0.11972
414.00000,0.12128
414.50000,0.12138
415.00000,0.11993
415.50000,0.12447
416.00000,0.12413
416.50000,0.12405
417.00000,0.12439
417.50000,0.12579
418.00000,0.12247
418.50000,0.12408
419.00000,0.12213
419.50000,0.12360
420.00000,0.12067
420.50000,0.12360
421.00000,0.12631
421.50000,0.12575
422.00000,0.12738
422.50000,0.13007
423.00000,0.12457
423.50000,0.12254
424.00000,0.11992
424.50000,0.12175
425.00000,0.12279
425.50000,0.12198
426.00000,0.12141
426.50000,0.12259
427.00000,0.12245
427.50000,0.12195
428.00000,0.12120
428.50000,0.12001
429.00000,0.12259
429.50000,0.12241
430.00000,0.12173
430.50000,0.11905
431.00000,0.12065
431.50000,0.11964
432.00000,0.12241
432.50000,0.12102
433.00000,0.12424
433.50000,0.12477
434.00000,0.12434
434.50000,0.12372
435.00000,0.12170
435.50000,0.12183
436.00000,0.12180
436.50000,0.12254
437.00000,0.12393
437.50000,0.12309
438.00000,0.12175
438.50000,0.12321
439.00000,0.12155
439.50000,0.12209
440.00000,0.12123
440.50000,0.12083
441.00000,0.11856
441.50000,0.12070
442.00000,0.11913
442.50000,0.11880
443.00000,0.11919
443.50000,0.12080
444.00000,0.12144
444.50000,0.12128
445.00000,0.11964
445.50000,0.12326
446.00000,0.12213
446.50000,0.12164
447.00000,0.12402
447.50000,0.12135
448.00000,0.12465
448.50000,0.12259
449.00000,0.12358
449.50000,0.12181
450.00000,0.12285
450.50000,0.12134
451.00000,0.12259
451.50000,0.12331
452.00000,0.12387
452.50000,0.12291
453.00000,0.12224
