Wavelength,2013-10-01 16:26:19,2013-10-01 16:26:21,2013-10-01 16:26:24,2013-10-01 16:26:29,2013-10-01 16:26:31,2013-10-01 16:26:34,2013-10-01 16:26:39,2013-10-01 16:26:41,2013-10-01 16:26:44,2013-10-01 16:26:49,2013-10-01 16:26:51,2013-10-01 16:26:54,2013-10-01 16:26:59,2013-10-01 16:27:01,2013-10-01 16:27:04,2013-10-01 16:27:09,2013-10-01 16:27:11,2013-10-01 16:27:14,2013-10-01 16:27:19,2013-10-01 16:27:21,2013-10-01 16:27:24,2013-10-01 16:27:29,2013-10-01 16:27:31,2013-10-01 16:27:34,2013-10-01 16:27:39,2013-10-01 16:27:41,2013-10-01 16:27:44,2013-10-01 16:27:51,2013-10-01 16:27:56,2013-10-01 16:28:01,2013-10-01 16:28:11,2013-10-01 16:28:16,2013-10-01 16:28:21,2013-10-01 16:28:31,2013-10-01 16:28:36,2013-10-01 16:28:41,2013-10-01 16:28:51,2013-10-01 16:28:56,2013-10-01 16:29:01,2013-10-01 16:29:12,2013-10-01 16:29:17,2013-10-01 16:29:22,2013-10-01 16:29:32,2013-10-01 16:29:36,2013-10-01 16:29:41,2013-10-01 16:29:51,2013-10-01 16:29:56,2013-10-01 16:30:01,2013-10-01 16:30:11,2013-10-01 16:30:16,2013-10-01 16:30:21,2013-10-01 16:30:31,2013-10-01 16:30:36,2013-10-01 16:30:41,2013-10-01 16:30:51,2013-10-01 16:30:56,2013-10-01 16:31:01,2013-10-01 16:31:11,2013-10-01 16:31:16,2013-10-01 16:31:21,2013-10-01 16:31:31,2013-10-01 16:31:36,2013-10-01 16:31:41,2013-10-01 16:31:51,2013-10-01 16:31:56,2013-10-01 16:32:01,2013-10-01 16:32:11,2013-10-01 16:32:16,2013-10-01 16:32:21,2013-10-01 16:32:31,2013-10-01 16:32:36,2013-10-01 16:32:41,2013-10-01 16:32:51,2013-10-01 16:32:56,2013-10-01 16:33:01,2013-10-01 16:33:11,2013-10-01 16:33:16,2013-10-01 16:33:21,2013-10-01 16:33:31,2013-10-01 16:33:36,2013-10-01 16:33:41,2013-10-01 16:33:51,2013-10-01 16:33:56,2013-10-01 16:34:01,2013-10-01 16:34:11,2013-10-01 16:34:16,2013-10-01 16:34:21,2013-10-01 16:34:31,2013-10-01 16:34:36,2013-10-01 16:34:41,2013-10-01 16:34:51,2013-10-01 16:34:56,2013-10-01 16:35:01,2013-10-01 16:35:11,2013-10-01 16:35:16,2013-10-01 16:35:21,2013-10-01 16:35:31,2013-10-01 16:35:36,2013-10-01 16:35:41,2013-10-01 16:35:51
430.1,279.7472810357675,279.12278109296767,279.1496818862197,278.46371866075407,278.618377124091,279.44252728715355,279.43579503974394,278.50991305416517,279.3305509829393,278.7524474833558,278.94232649115554,278.63356600525907,279.45646836494643,279.5574337248235,279.3343614047446,278.76549818741347,279.45348648106005,279.28463777213415,279.18957778601504,279.5373178563172,279.3583902935345,279.60323125057045,278.5845904524242,279.06202125654374,279.3786212085451,280.1803778265675,278.1740568734672,261.77608571064764,254.5457088611986,247.3557598317379,235.11891427947361,229.6168901981506,223.1875132351677,212.56643219505108,207.4064468275137,202.66746522787568,194.17057381915612,189.40120480231155,185.0021122857491,176.8615951434401,172.58823724650742,167.98408839917138,159.5529376687273,154.9022342148603,151.53896784182774,144.18822553095256,141.88021938915688,138.897580909837,131.6174177063337,129.19833023093196,126.16833068447457,120.63340123042092,117.28179232936192,116.07297465496187,111.9163806192875,110.60637734673216,107.55892655160764,104.47473746676022,103.32328348964089,101.48551177514358,98.8345402038064,97.152713427727,95.32760223394355,92.4162838330908,91.24733781281336,90.53569602636614,88.64582734736904,87.31306450891728,86.73685994357744,84.9323195031493,83.3232236733327,82.9509109194092,81.26482307713025,81.22895141139989,80.6478742121256,79.96090807945626,79.71512082964306,78.93082505632978,79.73280608934462,78.87519866085319,79.23419381585201,79.46323944990141,80.09452255541804,80.48008636788461,81.21649027748259,82.2907548210384,83.02270851362779,85.5084004196012,85.9190278520477,86.80434282784478,89.11488701812765,91.40604376777029,92.72960489130422,97.65619833734856,98.67890143440235,99.73827944887505,102.98067507657164,106.04243241549277,107.29641302570236,114.12097106612421
430.47,291.0582062331669,290.4038824219142,290.5306245433873,289.7848436669576,289.8995847913808,290.80323541182304,290.63691368009563,290.0311364406173,290.81157533342605,290.10352572767965,290.27317939853384,290.0047704618616,290.8274538134934,290.9683838349089,290.9253733121738,290.09648697000097,290.93449778878767,290.75551384050044,290.4907033418082,290.9682783500153,290.8793379482177,291.0542429782508,290.1358722737503,290.6930838940018,290.71931842262404,291.54144462951774,289.5249061458278,272.3267976583984,264.7864523448008,257.16660246062696,244.67973146867402,238.85764755206,232.33823901949646,221.08725730151852,215.7971666024925,210.7982199015196,202.0411496594107,197.1716902995274,192.6228783869704,184.0521703231573,179.5990017594904,174.81472720571392,165.95335746022326,161.40289626981345,157.81954417330144,150.16875275634536,147.6807097657551,144.558161428879,136.84803270949348,134.43877923053705,131.3488155944532,125.40382721333012,122.15224385544545,120.89356374323413,116.39691871418043,115.12680939719424,111.88934037392949,108.62520353823341,107.55384146729679,105.5759617701381,102.8349829162045,101.08312431897473,99.19819787105264,96.12686445638936,94.89791379593771,94.15617225350168,92.12600806049306,90.89365208527279,90.23719134202784,88.33263759003978,86.69363456725168,86.2611981035047,84.49530517533465,84.46931158550458,83.83807898123091,83.08119799306212,82.90546473904429,82.03138948584942,82.8731763406766,81.96587756871948,82.35478296936824,82.55380642878902,83.21477994626879,83.57069909018799,84.37713873987691,85.45141136158512,86.15340940112284,88.66906361442705,89.17981111846393,90.14497039767895,92.64555569771844,94.99672308459898,96.34045532417863,101.42687150868228,102.54954114425676,103.55907805554527,106.91153628082232,110.09321485432876,111.44741094528469,118.37190163477902
430.85,302.88915643590144,302.3450135165079,302.5015926777755,301.62599907873425,301.80082509832715,302.713962674997,302.51806255397037,302.18239289156816,302.7526273690612,301.71463311374214,302.2240553574628,301.9360074713452,302.7384658957849,302.9693596236452,303.0464125684526,301.8675024764422,302.8755364291568,302.7264135863902,302.1818593180283,302.8092648030025,302.8903112151896,302.8652820499225,302.08718873889575,302.5441752513912,302.6600344803267,303.4325402649802,301.1357783714958,283.5275288479803,275.60721592255453,267.67746786326984,254.560570744069,248.51842537499385,241.81898441961778,229.90810470816086,224.41790583084907,219.3189949717484,210.1917410629154,205.03218891828968,200.42366519363,191.4527610482724,186.80978693498642,181.89538327729812,172.45378859743528,167.8935762181437,164.02013608130142,156.19929423107308,153.56121339577484,150.27875763762486,142.20866433436038,139.77924036526656,136.40931361010692,130.36426470929098,127.05270758493671,125.68416875281105,120.82747135217865,119.74725312469587,116.32976538063845,112.97568220623293,111.88441452542986,109.71642392715948,106.91543759380257,104.89354631539128,103.0488096064619,99.89746077220951,98.5485053461734,97.75666135164087,95.69619365775554,94.36425554207042,93.63753169719307,91.6529642738732,90.0540565664117,89.59149304933254,87.7058003032202,87.56968149404452,86.95828928463624,86.12149574217085,85.9958179432942,85.06196917022086,85.84355659880131,84.99657482544708,85.34538804595252,85.5243887314304,86.25504429362896,86.76132837255365,87.39780472828184,88.57208564647091,89.28412923152311,91.81974473343729,92.35061555424276,93.42561492885996,96.03624244973057,98.51742076134191,99.88132874172527,105.14756287383595,106.28019814356668,107.43989824617957,110.93242076086356,113.99401844016027,115.59843583566645,122.69285735393801
431.22,315.38008163330085,314.8561148454544,315.57253533494304,313.9771240849378,314.71203276561715,315.4446707996665,315.12918119432214,314.80361627802034,315.5736517195477,314.315711358066,314.884908264841,314.3072119279475,315.38945134433175,315.8003097337304,315.6574244758819,314.58849125902964,315.5065477368845,315.54728965475664,314.89298487382155,315.39022529670035,315.78125886987283,315.6262937776029,315.04847056022174,315.4652378888493,315.27073169440564,315.8936070679305,313.6566276438566,295.21824079573105,287.0279594061568,278.75831049215896,265.0913879332694,258.79918272890313,252.02971020394654,239.29892981462848,233.64862560582787,228.2297496453921,218.81231690317,213.4426744155056,208.71443129485127,199.37333622798963,194.4305514479693,189.39602208384082,179.5642083889312,174.8442382730968,170.83071241277509,162.75982145646591,159.93170377237303,156.53933815666687,148.02927933752022,145.6296893648716,142.0897985200855,135.7646906922002,132.39315911102022,130.88475784108326,125.76800944707165,124.60768517515801,121.2001792029603,117.67614827770616,116.51497250308577,114.186873922154,111.21588030620066,109.18395720663895,107.22940524357095,104.01804139550808,102.63908132929764,101.89713757877637,99.5563743708795,98.21484311842592,97.39786309564354,95.40328236076357,93.81446746033066,93.26178023342808,91.3662824014246,91.11004166814924,90.50849405374149,89.51178565577669,89.41616185269552,88.5325335997405,89.2439268501333,88.46725373331337,88.74597719946883,88.94495571031803,89.61530168447973,90.21194109485704,90.79845319067611,92.03274218701756,92.7148301190181,95.2704079282631,95.98139882065895,97.02624249869416,99.84691112932128,102.34810007817059,103.69217917459964,109.2682360451697,110.38083785342104,111.58069685284977,115.28328196511428,118.30480087899628,120.06943375524872,127.34378792259277
431.59,328.72100683070016,328.36721617440105,328.9734779921105,327.4182490911413,328.05324043290693,328.72537892433587,328.39029983467367,328.0748396644725,328.4646760700344,327.72678960238983,328.07576117221925,327.40841638455004,328.70043679287863,329.1912598438157,328.88843638331133,327.9394800416171,328.97755904461224,328.97816572312286,328.0441104296148,328.48118579039846,329.212206524556,328.82730550528333,328.1397523815478,328.7163005263073,328.62142890848463,329.2946738708807,326.95747691621744,307.5589527434818,299.06870288975904,290.409153121048,276.2122051224698,269.6199400828125,262.70043598827516,249.389754921096,243.59934538080662,237.780504319036,227.93289274342462,222.30315991272155,217.39519739607255,207.77391140770686,202.7613159609524,197.4166608903833,187.2746281804271,182.33490032805,178.14128874424878,169.83034868185862,166.77219414897132,163.2099186757089,154.3498943406801,151.72013836447667,148.1802834300641,141.55511667510942,138.14361063710376,136.5853469293555,131.1885475419646,130.07811722562008,126.31059302528216,122.74661434917937,121.55553048074171,119.19732391714851,116.0563230185988,113.87436809788665,111.91000088068006,108.5486220188066,107.17965731242188,106.34761380591186,103.87655508400354,102.45543069478147,101.49819449409391,99.45360044765404,97.85487835424965,97.23206741752358,95.33676449962894,94.94040184225392,94.28869882284677,93.34207556938256,93.16650576209676,92.38309802926008,92.92429710146531,92.2179326411797,92.55656635298507,92.7755226892057,93.42555907533043,94.08255381716049,94.61910165307049,95.73339872756424,96.4255310065131,99.22107112308895,99.88218208707515,100.9968700685283,104.02757980891205,106.5687793949993,107.84302960747404,113.67890921650341,115.00147756327543,116.10149545952005,119.93414316936493,123.10558331783228,124.94043167483105,132.43471849124762
431.96,341.54193202809967,341.01831750334753,341.714420649278,340.05937409734486,340.98444810019686,341.7860870490054,341.35141847502547,340.8760630509246,341.2957004205212,340.80786784671363,340.93661407959735,340.1696208411524,341.55142224142554,342.072209953901,341.8594482907406,340.81046882420463,341.8885703523398,341.81904179148927,340.88523598540814,341.50214628409645,342.1331541792393,341.62831723296364,341.0510342028738,341.63736316376543,341.56212612256354,342.1857406738309,339.4583261885782,319.42966469123263,310.65944637336133,301.7799957499372,286.8430223116702,280.0206974367218,273.0611617726039,259.1205800275636,252.88006515578545,247.07125899267982,236.7534685836792,230.86364540993745,225.8659634972937,215.8444865874241,210.78208047393528,205.22729969692588,194.5550479719231,189.29556238300307,185.0618650757225,176.39087590725148,173.1826845255694,169.53049919475094,160.2105093438399,157.51058736408183,153.9407683400427,147.05554265801862,143.4540621631873,141.89593601762775,136.4090856368575,135.12854927608214,131.20100684760402,127.5470804206526,126.2060884583976,123.717773912143,120.49676573099691,118.22477898913428,116.2405965177891,112.73920264210514,111.30023329554615,110.42809003304735,107.88673579712751,106.30601827113705,105.31852589254429,103.27391853454444,101.5952892481686,101.04235460161912,98.87724659783336,98.51076201635858,97.748903591952,96.79236548298842,96.576849671498,95.97366245877971,96.4446673527973,95.668611549046,96.02715550650132,96.23608966809331,96.8558164661812,97.53316653946392,98.07975011546476,99.21405526811094,99.99623189400808,102.88173431791472,103.5429653534914,104.59749763836244,107.87824848850276,110.369458711828,111.72388004034843,117.81958238783716,119.20211727312984,120.42229406619026,124.22500437361566,127.50636575666825,129.3814295944133,137.1656490599024
432.33,355.86285722549894,355.26941883229415,356.08536330644546,354.15049910354844,355.31565576748665,356.16679517367487,355.6325371153772,355.2072864373768,355.69672477100784,355.0289460910376,355.1874669869755,354.4008252977549,355.6424076899725,356.4331600639863,355.9304601981698,355.081457606792,355.96958166006766,356.0999178598557,355.23636154120123,355.77310677779434,356.5141018339225,355.95932896064414,355.26231602419983,356.01842580122354,355.8428233366426,356.50680747678115,353.609175460939,332.95037663898336,323.4901898569635,314.30083837882614,299.05383950087054,291.56145479063116,284.42188755693263,269.90140513403105,263.4107849307642,257.31201366632365,246.42404442393376,240.4841309071533,235.146729598515,224.64506176714139,219.53284498691826,213.70793850346848,202.7254677634189,197.28622443795624,192.69244140719616,183.70140313264423,180.3131749021676,176.53107971379296,166.83112434699973,163.97103636368686,160.33125325002138,153.20596864092784,149.39451368927087,147.7465251059,141.9496237317505,140.7189813265443,136.67142066992585,132.7375464921258,131.39664643605352,128.77822390713752,125.47720844339493,123.09518988038198,120.9411921548982,117.3597832654037,115.89080927867045,114.97856626018292,112.21691651025152,110.6166058474926,109.44885729099472,107.46423662143488,105.64570014208752,105.11264178571464,102.92772869603779,102.36112219046332,101.65910836105726,100.63265539659425,100.40719358089927,99.78422688829934,100.31503760412927,99.51929045691229,99.78774466001758,100.07665664698092,100.78607385703195,101.36377926176736,101.93039857785908,103.09471180865762,103.94693278150305,106.81239751274056,107.5237486199076,108.6781252081966,112.08891716809352,114.60013802865663,116.18473047322279,122.35025555917092,123.74275698298423,124.95309267286044,128.9958655778663,132.42714819550423,134.47242751399565,142.42657962855714
432.7,369.6937824228984,369.00052016124056,369.676305963613,367.961624109752,368.86686343477663,370.01750329834437,369.2336557557288,368.9585098238289,369.7377491214945,368.99002433536145,368.7483198943537,368.2520297543573,369.49339313851937,370.0741101740717,369.6514721055992,368.83244638937936,369.8605929677954,369.670793928222,368.98748709699447,369.59406727149246,370.43504948860567,369.7603406883243,369.26359784552574,369.97948843868164,369.7435205507215,370.33787427973135,367.2700247332998,345.77108858673415,335.8209333405659,326.4716810077153,310.484656690071,302.77221214454045,295.3926133412613,280.1722302404986,273.5615047057429,267.29276833996744,255.89462026418843,249.77461640436923,244.09749569973633,233.23563694685865,227.9636094999012,221.9285773100111,210.5258875549149,204.8968864929094,200.06301773866986,190.731930358037,187.24366527876583,183.15166023283496,173.2017393501596,170.34148536329192,166.52173815999996,159.07639462383702,155.04496521535435,153.32711419417222,147.42016182664344,146.2294133770064,141.83183449224776,137.80801256359902,136.36720441370952,133.698673902132,130.15765115579308,127.74560077162971,125.51178779200724,121.83036388870224,120.38138526179466,119.3690424873184,116.38709722337549,114.70719342384814,113.61918868944514,111.52455470832531,109.54611103600651,109.09292896981016,106.83821079424213,106.09148236456804,105.50931313016248,104.32294531020008,104.0075374903005,103.45479131781893,103.82540785546128,103.21996936477863,103.43833381353386,103.64722362586865,104.56633124788266,105.07439198407072,105.56104704025336,106.90536834920431,107.66763366899806,110.63306070756632,111.42453188632385,112.6587527780308,116.17958584768421,118.6608173454853,120.3055809060972,126.63092873050468,128.0933966928387,129.46389127953074,133.746726782117,137.1979306343402,139.2634254335779,147.53751019721201
433.08,385.9347326256329,384.9916512558342,385.7272740980012,384.22277952152876,385.28810374172286,386.0082305615182,385.37480462960366,385.20976627477984,385.9788011571293,385.1311317214238,385.28919585328265,384.4532667638408,386.03440522081075,386.06508596280787,385.9625113618779,385.26346189582057,385.9416316081642,386.0016936741117,385.27864307321465,386.11505372447965,386.6560227555776,386.01137975999603,385.5349143106714,386.2205797960711,385.8642366084242,386.35896991519377,383.23089695896766,360.911819776316,350.3116969183196,340.8025464103581,324.195495965466,316.06298996747444,308.22335874138275,292.393077647141,285.4322439340994,278.96354341019617,267.0752116676931,260.7051150231315,254.708282506396,243.4262276719736,237.8343946753972,231.66923338159526,219.67631869212696,213.9075664412396,208.9236096466698,199.09247183276474,195.4141689087856,191.15225644158085,180.70237097502655,177.74194649802155,173.65223617565366,165.81683211979788,161.78542894484562,159.8977192037491,153.77071446464163,152.619857104508,147.97225949895667,143.76849123159857,142.18777747184257,139.40913605915335,135.71810583339115,133.3460227680462,131.11239952741653,127.21096020452242,125.57197681203041,124.5095315854576,121.34728282063801,119.6377968806457,118.47952904461044,116.24488139215872,114.26653303516649,113.71322391563804,111.41870592212773,110.481852273108,109.94952343356786,108.66324305930885,108.38789069455044,107.85537100219044,108.16578811358605,107.57066662150623,107.77893889011813,107.98780592850996,108.91659559524292,109.41502126643644,110.02171302865831,111.29604263409009,112.22835349939837,115.14374182657663,115.99533632210267,117.2893973092118,120.98027259969635,123.5815150222283,125.1564543236438,131.7216200956583,133.27405369214853,134.62471147016498,139.12761126215827,142.72873422017182,144.93445032395974,153.468465916371
433.45,401.2456578230323,400.2727525847808,401.1682167551688,399.68390452773207,400.6393114090129,401.4289386861877,400.5859232699551,400.6209896612318,401.39982550761596,400.53220996574765,400.47004876066086,399.9644712204432,401.2753906693577,401.4860360728933,401.0835232693072,400.544450678408,401.3626429158921,401.4425697424781,400.63976862900796,401.4560142181777,402.07697041026086,401.5423914876764,401.0061961319974,401.6716424335289,401.0149338225031,401.7000367181441,399.0217462313285,375.29253172406686,364.35244040192185,354.4433890392472,337.22631315466634,328.56374732138374,320.43408452571134,303.99390275360844,296.75296370907836,290.10429808384015,277.6857875079477,271.1256005203474,264.8390486076172,253.0768028516909,247.2651591883802,240.889872188138,228.29673848362285,222.3382284961928,217.27418597814358,207.03299905815757,203.06465928538373,198.68283696062284,187.8029859781863,184.69239549762656,180.42272108563225,172.29725810270713,168.3058804709292,166.2183082920213,159.87125255953458,158.70028915497008,153.83267332127855,149.41895730307178,147.7983354494985,144.9595860541479,141.11854854578928,138.7064336592939,136.26299516452562,132.22154082782095,130.44255279515465,129.31000781259308,126.027463533762,124.25838445700123,123.03986044306086,120.78519947904915,118.69694392908545,118.31351109973352,115.70918802033206,114.6922124472127,114.15972820267315,112.70353297291464,112.40823460395174,111.96593543171,112.216158364918,111.63134552937255,111.84952804363435,112.09837290739763,113.04685298609364,113.56563398873982,114.07236149105265,115.39669917463678,116.41905438689331,119.39440502140239,120.30611958851892,121.700024879046,125.53094127928708,128.112194339057,129.8173047565182,136.52229326699205,138.13469340200294,139.60551007683523,144.23847246640898,147.89951665900782,150.18544824354203,159.00939648502583
