"Storage 152531 - RawData - C:\Documents and Settings\user\My Documents\Adam_Hughes\11_5_12\25nm_np\NPConcentration\File_121105_152531.spc"
"Wavelength nm.","Abs."
400.00000,0.24374
400.50000,0.24303
401.00000,0.24040
401.50000,0.24138
402.00000,0.24162
402.50000,0.23882
403.00000,0.23528
403.50000,0.24327
404.00000,0.23999
404.50000,0.24312
405.00000,0.23915
405.50000,0.24191
406.00000,0.24124
406.50000,0.24246
407.00000,0.23929
407.50000,0.24014
408.00000,0.23654
408.50000,0.23718
409.00000,0.23680
409.50000,0.23848
410.00000,0.23648
410.50000,0.23779
411.00000,0.23878
411.50000,0.23625
412.00000,0.23564
412.50000,0.23466
413.00000,0.23566
413.50000,0.23439
414.00000,0.23361
414.50000,0.23492
415.00000,0.23529
415.50000,0.23683
416.00000,0.23558
416.50000,0.23553
417.00000,0.23509
417.50000,0.23428
418.00000,0.23814
418.50000,0.23703
419.00000,0.23442
419.50000,0.23430
420.00000,0.23752
420.50000,0.23404
421.00000,0.23366
421.50000,0.23486
422.00000,0.23824
422.50000,0.23599
423.00000,0.23808
423.50000,0.23413
424.00000,0.23001
424.50000,0.23335
425.00000,0.23410
425.50000,0.23296
426.00000,0.23286
426.50000,0.23169
427.00000,0.23116
427.50000,0.23347
428.00000,0.23244
428.50000,0.23109
429.00000,0.23112
429.50000,0.23126
430.00000,0.22955
430.50000,0.22978
431.00000,0.23117
431.50000,0.23027
432.00000,0.23109
432.50000,0.23233
433.00000,0.23398
433.50000,0.23553
434.00000,0.23340
434.50000,0.23106
435.00000,0.22975
435.50000,0.23126
436.00000,0.23340
436.50000,0.23473
437.00000,0.23248
437.50000,0.23235
438.00000,0.23535
438.50000,0.23274
439.00000,0.23280
439.50000,0.22981
440.00000,0.23032
440.50000,0.23070
441.00000,0.22952
441.50000,0.22893
442.00000,0.22939
442.50000,0.23050
443.00000,0.22780
443.50000,0.22990
444.00000,0.22775
444.50000,0.23091
445.00000,0.23250
445.50000,0.22932
446.00000,0.23274
446.50000,0.23131
447.00000,0.23347
447.50000,0.23244
448.00000,0.23187
448.50000,0.23528
449.00000,0.23160
449.50000,0.23274
450.00000,0.23250
450.50000,0.23177
451.00000,0.23154
451.50000,0.23369
452.00000,0.23091
452.50000,0.23253
453.00000,0.23125
453.50000,0.23131
454.00000,0.23207
454.50000,0.23140
455.00000,0.23241
455.50000,0.23361
456.00000,0.23798
456.50000,0.23598
457.00000,0.23311
457.50000,0.23351
458.00000,0.23389
458.50000,0.23448
459.00000,0.23395
459.50000,0.23206
460.00000,0.23627
460.50000,0.23523
461.00000,0.23567
461.50000,0.23619
462.00000,0.23694
462.50000,0.23846
463.00000,0.23724
463.50000,0.23720
464.00000,0.23918
464.50000,0.23955
465.00000,0.24071
465.50000,0.23961
466.00000,0.24123
466.50000,0.24277
467.00000,0.24100
467.50000,0.24103
468.00000,0.24185
468.50000,0.24301
469.00000,0.24310
469.50000,0.24480
470.00000,0.24445
470.50000,0.24626
471.00000,0.24591
471.50000,0.24734
472.00000,0.24698
472.50000,0.24734
473.00000,0.24635
473.50000,0.24675
474.00000,0.24870
474.50000,0.24768
475.00000,0.24879
475.50000,0.24768
476.00000,0.25154
476.50000,0.25082
477.00000,0.25383
477.50000,0.25334
478.00000,0.25613
478.50000,0.25490
479.00000,0.25676
479.50000,0.25752
480.00000,0.25909
480.50000,0.26021
481.00000,0.26147
481.50000,0.26530
482.00000,0.26514
482.50000,0.26767
483.00000,0.26869
483.50000,0.26903
484.00000,0.27106
484.50000,0.27208
485.00000,0.27370
485.50000,0.27443
486.00000,0.27777
486.50000,0.27730
487.00000,0.27866
487.50000,0.28026
488.00000,0.28185
488.50000,0.28380
489.00000,0.28658
489.50000,0.28737
490.00000,0.28926
490.50000,0.29233
491.00000,0.29355
491.50000,0.29614
492.00000,0.29887
492.50000,0.30080
493.00000,0.30276
493.50000,0.30588
494.00000,0.30823
494.50000,0.31027
495.00000,0.31145
495.50000,0.31557
496.00000,0.31921
496.50000,0.32072
497.00000,0.32484
497.50000,0.32741
498.00000,0.32947
498.50000,0.33179
499.00000,0.33482
499.50000,0.33807
500.00000,0.33934
500.50000,0.34256
501.00000,0.34583
501.50000,0.34743
502.00000,0.35049
502.50000,0.35362
503.00000,0.35556
503.50000,0.35898
504.00000,0.36272
504.50000,0.36536
505.00000,0.37036
505.50000,0.37332
506.00000,0.37386
506.50000,0.37843
507.00000,0.38026
507.50000,0.37999
508.00000,0.38422
508.50000,0.38644
509.00000,0.38870
509.50000,0.39185
510.00000,0.39636
510.50000,0.39822
511.00000,0.39890
511.50000,0.40256
512.00000,0.40460
512.50000,0.40649
513.00000,0.40822
513.50000,0.41180
514.00000,0.41245
514.50000,0.41542
515.00000,0.41734
515.50000,0.41959
516.00000,0.42130
516.50000,0.42294
517.00000,0.42297
517.50000,0.42387
518.00000,0.42517
518.50000,0.42899
519.00000,0.42989
519.50000,0.43146
520.00000,0.43120
520.50000,0.43161
521.00000,0.43350
521.50000,0.43538
522.00000,0.43510
522.50000,0.43434
523.00000,0.43410
523.50000,0.43332
524.00000,0.43520
524.50000,0.43495
525.00000,0.43521
525.50000,0.43275
526.00000,0.43214
526.50000,0.42909
527.00000,0.43195
527.50000,0.43097
528.00000,0.43159
528.50000,0.43082
529.00000,0.42731
529.50000,0.42767
530.00000,0.42453
530.50000,0.42279
531.00000,0.42291
531.50000,0.42055
532.00000,0.42133
532.50000,0.41920
533.00000,0.41446
533.50000,0.41330
534.00000,0.40984
534.50000,0.40860
535.00000,0.40503
535.50000,0.40295
536.00000,0.40068
536.50000,0.39842
537.00000,0.39745
537.50000,0.39247
538.00000,0.39087
538.50000,0.38693
539.00000,0.38341
539.50000,0.37990
540.00000,0.37730
540.50000,0.37607
541.00000,0.36963
541.50000,0.36839
542.00000,0.36536
542.50000,0.36162
543.00000,0.35712
543.50000,0.35388
544.00000,0.35057
544.50000,0.34624
545.00000,0.34293
545.50000,0.33882
546.00000,0.33763
546.50000,0.33331
547.00000,0.33101
547.50000,0.32516
548.00000,0.32451
548.50000,0.31815
549.00000,0.31490
549.50000,0.31155
550.00000,0.30789
550.50000,0.30347
551.00000,0.30046
551.50000,0.29611
552.00000,0.29266
552.50000,0.28983
553.00000,0.28589
553.50000,0.28169
554.00000,0.28035
554.50000,0.27713
555.00000,0.27344
555.50000,0.26793
556.00000,0.26395
556.50000,0.26146
557.00000,0.25742
557.50000,0.25453
558.00000,0.25195
558.50000,0.24841
559.00000,0.24518
559.50000,0.24211
560.00000,0.23758
560.50000,0.23566
561.00000,0.23308
561.50000,0.22984
562.00000,0.22752
562.50000,0.22488
563.00000,0.22125
563.50000,0.21602
564.00000,0.21445
564.50000,0.21262
565.00000,0.20993
565.50000,0.20714
566.00000,0.20496
566.50000,0.20110
567.00000,0.19974
567.50000,0.19733
568.00000,0.19420
568.50000,0.19209
569.00000,0.18758
569.50000,0.18463
570.00000,0.18283
570.50000,0.18130
571.00000,0.17876
571.50000,0.17642
572.00000,0.17422
572.50000,0.17143
573.00000,0.16917
573.50000,0.16670
574.00000,0.16473
574.50000,0.16316
575.00000,0.16013
575.50000,0.15680
576.00000,0.15654
576.50000,0.15335
577.00000,0.15211
577.50000,0.15047
578.00000,0.14723
578.50000,0.14537
579.00000,0.14403
579.50000,0.14375
580.00000,0.14108
