"Storage 153133 - RawData - C:\Documents and Settings\user\My Documents\Adam_Hughes\11_5_12\25nm_np\NPConcentration\File_121105_153133.spc"
"Wavelength nm.","Abs."
400.00000,0.34268
400.50000,0.34612
401.00000,0.34480
401.50000,0.34764
402.00000,0.34085
402.50000,0.34332
403.00000,0.34062
403.50000,0.34425
404.00000,0.34624
404.50000,0.34387
405.00000,0.34471
405.50000,0.34372
406.00000,0.34418
406.50000,0.34508
407.00000,0.34286
407.50000,0.33971
408.00000,0.33836
408.50000,0.33690
409.00000,0.33890
409.50000,0.33965
410.00000,0.34131
410.50000,0.34282
411.00000,0.34036
411.50000,0.33942
412.00000,0.34059
412.50000,0.33817
413.00000,0.33835
413.50000,0.33418
414.00000,0.33675
414.50000,0.33447
415.00000,0.33418
415.50000,0.33617
416.00000,0.33681
416.50000,0.33853
417.00000,0.33476
417.50000,0.33557
418.00000,0.33261
418.50000,0.33519
419.00000,0.33447
419.50000,0.33487
420.00000,0.33276
420.50000,0.33350
421.00000,0.33459
421.50000,0.33765
422.00000,0.33701
422.50000,0.33781
423.00000,0.33760
423.50000,0.33217
424.00000,0.33046
424.50000,0.33182
425.00000,0.33131
425.50000,0.33311
426.00000,0.33150
426.50000,0.33394
427.00000,0.33368
427.50000,0.33235
428.00000,0.33162
428.50000,0.33151
429.00000,0.33180
429.50000,0.33089
430.00000,0.33186
430.50000,0.32953
431.00000,0.32997
431.50000,0.32857
432.00000,0.32758
432.50000,0.33217
433.00000,0.33476
433.50000,0.33350
434.00000,0.33118
434.50000,0.32953
435.00000,0.32939
435.50000,0.32753
436.00000,0.32996
436.50000,0.33226
437.00000,0.32863
437.50000,0.33247
438.00000,0.33260
438.50000,0.33209
439.00000,0.33083
439.50000,0.32803
440.00000,0.32921
440.50000,0.32898
441.00000,0.32883
441.50000,0.32988
442.00000,0.32880
442.50000,0.32735
443.00000,0.32762
443.50000,0.32683
444.00000,0.32765
444.50000,0.32669
445.00000,0.32692
445.50000,0.33066
446.00000,0.32970
446.50000,0.32970
447.00000,0.33252
447.50000,0.33339
448.00000,0.33409
448.50000,0.33064
449.00000,0.33127
449.50000,0.32973
450.00000,0.33023
450.50000,0.33028
451.00000,0.33266
451.50000,0.33186
452.00000,0.33083
452.50000,0.33147
453.00000,0.33409
453.50000,0.32840
454.00000,0.33101
454.50000,0.33073
455.00000,0.33351
455.50000,0.33398
456.00000,0.33540
456.50000,0.33476
457.00000,0.33412
457.50000,0.33379
458.00000,0.33157
458.50000,0.33296
459.00000,0.33551
459.50000,0.33495
460.00000,0.33533
460.50000,0.33455
461.00000,0.33752
