"Storage 153729 - RawData - C:\Documents and Settings\user\My Documents\Adam_Hughes\11_5_12\25nm_np\NPConcentration\File_121105_153729.spc"
"Wavelength nm.","Abs."
400.00000,0.54359
400.50000,0.53964
401.00000,0.54370
401.50000,0.54373
402.00000,0.54189
402.50000,0.53964
403.00000,0.54250
403.50000,0.54250
404.00000,0.54018
404.50000,0.54008
405.00000,0.54233
405.50000,0.54280
406.00000,0.53545
406.50000,0.53938
407.00000,0.53708
407.50000,0.53448
408.00000,0.53320
408.50000,0.53358
409.00000,0.52997
409.50000,0.53285
410.00000,0.53438
410.50000,0.53322
411.00000,0.53162
411.50000,0.53494
412.00000,0.52936
412.50000,0.52440
413.00000,0.52837
413.50000,0.52774
414.00000,0.52516
414.50000,0.52579
415.00000,0.52632
415.50000,0.52811
416.00000,0.52609
416.50000,0.53133
417.00000,0.52739
417.50000,0.52951
418.00000,0.52597
418.50000,0.52702
419.00000,0.52632
419.50000,0.52631
420.00000,0.52652
420.50000,0.52538
421.00000,0.52399
421.50000,0.52408
422.00000,0.52840
422.50000,0.53029
423.00000,0.52718
423.50000,0.52461
424.00000,0.52237
424.50000,0.52432
425.00000,0.52242
425.50000,0.52054
426.00000,0.52367
426.50000,0.52255
427.00000,0.51993
427.50000,0.51949
428.00000,0.52153
428.50000,0.51968
429.00000,0.52292
429.50000,0.51929
430.00000,0.51828
430.50000,0.51941
431.00000,0.52054
431.50000,0.51608
432.00000,0.51392
432.50000,0.51895
433.00000,0.52071
433.50000,0.52193
434.00000,0.52086
434.50000,0.51936
435.00000,0.51738
435.50000,0.51872
436.00000,0.52010
436.50000,0.51859
437.00000,0.52242
437.50000,0.51804
438.00000,0.52052
438.50000,0.51761
439.00000,0.52008
439.50000,0.51819
440.00000,0.51724
440.50000,0.51715
441.00000,0.51723
441.50000,0.51830
442.00000,0.51593
442.50000,0.51469
443.00000,0.51680
443.50000,0.51469
444.00000,0.51509
444.50000,0.51526
445.00000,0.51767
445.50000,0.51765
446.00000,0.51996
446.50000,0.52020
447.00000,0.51955
447.50000,0.52164
448.00000,0.51831
448.50000,0.51872
449.00000,0.52110
449.50000,0.51794
450.00000,0.51848
450.50000,0.52209
451.00000,0.52225
451.50000,0.52115
452.00000,0.52005
452.50000,0.52054
453.00000,0.51703
453.50000,0.52151
454.00000,0.51701
454.50000,0.51973
455.00000,0.52106
455.50000,0.52486
456.00000,0.52766
456.50000,0.52509
457.00000,0.52486
457.50000,0.52324
458.00000,0.52504
458.50000,0.52414
459.00000,0.52228
459.50000,0.52475
460.00000,0.52550
460.50000,0.52757
461.00000,0.53053
461.50000,0.52893
462.00000,0.52904
462.50000,0.52881
463.00000,0.53221
463.50000,0.53183
464.00000,0.53448
464.50000,0.53468
465.00000,0.53783
465.50000,0.53976
466.00000,0.53609
466.50000,0.54060
467.00000,0.53798
467.50000,0.54134
468.00000,0.53902
468.50000,0.53978
469.00000,0.54309
469.50000,0.54861
470.00000,0.54716
470.50000,0.54974
471.00000,0.55011
471.50000,0.55188
472.00000,0.55295
472.50000,0.55200
473.00000,0.55479
473.50000,0.55484
474.00000,0.55821
474.50000,0.55780
475.00000,0.55884
475.50000,0.56076
476.00000,0.56328
476.50000,0.56674
477.00000,0.56770
477.50000,0.56992
478.00000,0.57018
478.50000,0.57532
479.00000,0.57741
479.50000,0.57898
480.00000,0.58246
480.50000,0.58597
481.00000,0.58740
481.50000,0.58829
482.00000,0.59462
482.50000,0.59648
483.00000,0.59943
483.50000,0.60260
484.00000,0.60876
484.50000,0.60931
485.00000,0.61041
485.50000,0.61473
486.00000,0.62050
486.50000,0.62405
487.00000,0.62610
487.50000,0.63078
488.00000,0.63168
488.50000,0.63678
489.00000,0.64392
489.50000,0.64963
490.00000,0.65279
490.50000,0.65829
491.00000,0.66203
491.50000,0.66650
492.00000,0.67017
492.50000,0.67520
493.00000,0.67892
493.50000,0.68556
494.00000,0.69026
494.50000,0.69411
495.00000,0.70317
495.50000,0.70726
496.00000,0.71420
496.50000,0.72063
497.00000,0.72754
497.50000,0.73384
498.00000,0.73932
498.50000,0.74377
499.00000,0.74878
499.50000,0.75871
500.00000,0.76202
500.50000,0.77029
501.00000,0.77382
501.50000,0.78160
502.00000,0.78937
502.50000,0.79413
503.00000,0.80078
503.50000,0.80573
504.00000,0.81407
504.50000,0.81969
505.00000,0.82637
505.50000,0.83235
506.00000,0.83844
506.50000,0.84523
507.00000,0.84998
507.50000,0.85904
508.00000,0.86169
508.50000,0.86783
509.00000,0.87457
509.50000,0.88124
510.00000,0.88748
510.50000,0.89159
511.00000,0.89577
511.50000,0.90086
512.00000,0.90984
512.50000,0.91301
513.00000,0.91644
513.50000,0.92230
514.00000,0.92677
514.50000,0.93079
515.00000,0.93607
