"Storage 151218 - RawData - C:\Documents and Settings\user\My Documents\Adam_Hughes\11_5_12\50nm_np_free_soln\File_121105_151218.spc"
"Wavelength nm.","Abs."
400.00000,0.06737
400.50000,0.06999
401.00000,0.06940
401.50000,0.07268
402.00000,0.07164
402.50000,0.06972
403.00000,0.07138
403.50000,0.07085
404.00000,0.06796
404.50000,0.06995
405.00000,0.07285
405.50000,0.07286
406.00000,0.07175
406.50000,0.07187
407.00000,0.06981
407.50000,0.06772
408.00000,0.06729
408.50000,0.06712
409.00000,0.07037
409.50000,0.07048
410.00000,0.07181
410.50000,0.06982
411.00000,0.07076
411.50000,0.07120
412.00000,0.06662
412.50000,0.06859
413.00000,0.06630
413.50000,0.06644
414.00000,0.06467
414.50000,0.06612
415.00000,0.06752
415.50000,0.07048
416.00000,0.07065
416.50000,0.06818
417.00000,0.07088
417.50000,0.06979
418.00000,0.06943
418.50000,0.06821
419.00000,0.06862
419.50000,0.06705
420.00000,0.06905
420.50000,0.07016
421.00000,0.07027
421.50000,0.07135
422.00000,0.07137
422.50000,0.07019
423.00000,0.06841
423.50000,0.06921
424.00000,0.06633
424.50000,0.06593
425.00000,0.06818
425.50000,0.06873
426.00000,0.06802
426.50000,0.06641
427.00000,0.06853
427.50000,0.06587
428.00000,0.06903
428.50000,0.06731
429.00000,0.06854
429.50000,0.06842
430.00000,0.06787
430.50000,0.06761
431.00000,0.06705
431.50000,0.06485
432.00000,0.06747
432.50000,0.06595
433.00000,0.06804
433.50000,0.07309
434.00000,0.06839
434.50000,0.06801
435.00000,0.06581
435.50000,0.06790
436.00000,0.06512
436.50000,0.07019
437.00000,0.07034
437.50000,0.07057
438.00000,0.06985
438.50000,0.07083
439.00000,0.06796
439.50000,0.06679
440.00000,0.06670
440.50000,0.06631
441.00000,0.06557
441.50000,0.06398
442.00000,0.06738
442.50000,0.06628
443.00000,0.06454
443.50000,0.06679
444.00000,0.06656
444.50000,0.06613
445.00000,0.06668
445.50000,0.06812
446.00000,0.06813
446.50000,0.06958
447.00000,0.07056
447.50000,0.07207
448.00000,0.07082
448.50000,0.06920
449.00000,0.06854
449.50000,0.06793
450.00000,0.06761
450.50000,0.06827
451.00000,0.06679
451.50000,0.06802
452.00000,0.06767
452.50000,0.06676
453.00000,0.06674
453.50000,0.06715
454.00000,0.06563
454.50000,0.06602
455.00000,0.06671
455.50000,0.06917
456.00000,0.07101
456.50000,0.06935
457.00000,0.06914
457.50000,0.06863
458.00000,0.06778
458.50000,0.06749
459.00000,0.06543
459.50000,0.06541
460.00000,0.06885
460.50000,0.06909
461.00000,0.07124
461.50000,0.06908
462.00000,0.06981
462.50000,0.06926
463.00000,0.06999
463.50000,0.06990
464.00000,0.07036
464.50000,0.07080
465.00000,0.07138
465.50000,0.07326
466.00000,0.07225
466.50000,0.07164
467.00000,0.07047
467.50000,0.07053
468.00000,0.07155
468.50000,0.07048
469.00000,0.07088
469.50000,0.07405
470.00000,0.07332
470.50000,0.07451
471.00000,0.07323
471.50000,0.07295
472.00000,0.07324
472.50000,0.07237
473.00000,0.07172
473.50000,0.07195
474.00000,0.07249
474.50000,0.07155
475.00000,0.07207
475.50000,0.07129
