Wavelength,2014-05-22 15:36:44,2014-05-22 15:36:48,2014-05-22 15:36:51,2014-05-22 15:36:55,2014-05-22 15:36:59,2014-05-22 15:37:03,2014-05-22 15:37:06,2014-05-22 15:37:10,2014-05-22 15:37:14,2014-05-22 15:37:17,2014-05-22 15:37:21,2014-05-22 15:37:24,2014-05-22 15:37:28,2014-05-22 15:37:32,2014-05-22 15:37:35,2014-05-22 15:37:39,2014-05-22 15:37:43,2014-05-22 15:37:46,2014-05-22 15:37:50,2014-05-22 15:37:54,2014-05-22 15:37:57,2014-05-22 15:38:01,2014-05-22 15:38:05,2014-05-22 15:38:08,2014-05-22 15:38:12,2014-05-22 15:38:16,2014-05-22 15:38:19,2014-05-22 15:38:23,2014-05-22 15:38:26,2014-05-22 15:38:30,2014-05-22 15:38:34,2014-05-22 15:38:37,2014-05-22 15:38:41,2014-05-22 15:38:45,2014-05-22 15:38:48,2014-05-22 15:38:52,2014-05-22 15:38:56,2014-05-22 15:38:59,2014-05-22 15:39:03,2014-05-22 15:39:07,2014-05-22 15:39:10,2014-05-22 15:39:14,2014-05-22 15:39:18,2014-05-22 15:39:21,2014-05-22 15:39:25,2014-05-22 15:39:29,2014-05-22 15:39:33,2014-05-22 15:39:36,2014-05-22 15:39:40,2014-05-22 15:39:44,2014-05-22 15:39:47,2014-05-22 15:39:51,2014-05-22 15:39:55,2014-05-22 15:39:58,2014-05-22 15:40:02,2014-05-22 15:40:06,2014-05-22 15:40:09,2014-05-22 15:40:13,2014-05-22 15:40:17,2014-05-22 15:40:20,2014-05-22 15:40:24,2014-05-22 15:40:28,2014-05-22 15:40:31,2014-05-22 15:40:35,2014-05-22 15:40:38,2014-05-22 15:40:42,2014-05-22 15:40:46,2014-05-22 15:40:49,2014-05-22 15:40:53,2014-05-22 15:40:57,2014-05-22 15:41:00,2014-05-22 15:41:04,2014-05-22 15:41:08,2014-05-22 15:41:11,2014-05-22 15:41:15,2014-05-22 15:41:19,2014-05-22 15:41:22,2014-05-22 15:41:26,2014-05-22 15:41:30,2014-05-22 15:41:33,2014-05-22 15:41:37,2014-05-22 15:41:41,2014-05-22 15:41:44,2014-05-22 15:41:48,2014-05-22 15:41:52,2014-05-22 15:41:55,2014-05-22 15:41:59,2014-05-22 15:42:02,2014-05-22 15:42:06,2014-05-22 15:42:10,2014-05-22 15:42:13,2014-05-22 15:42:17,2014-05-22 15:42:21,2014-05-22 15:42:24,2014-05-22 15:42:28,2014-05-22 15:42:32,2014-05-22 15:42:35,2014-05-22 15:42:39,2014-05-22 15:42:43,2014-05-22 15:42:46,2014-05-22 15:42:50,2014-05-22 15:42:54,2014-05-22 15:42:57,2014-05-22 15:43:01,2014-05-22 15:43:05,2014-05-22 15:43:08,2014-05-22 15:43:12,2014-05-22 15:43:15,2014-05-22 15:43:19,2014-05-22 15:43:23,2014-05-22 15:43:26,2014-05-22 15:43:30,2014-05-22 15:43:34,2014-05-22 15:43:37,2014-05-22 15:43:41,2014-05-22 15:43:45,2014-05-22 15:43:48,2014-05-22 15:43:52,2014-05-22 15:43:56,2014-05-22 15:43:59,2014-05-22 15:44:03,2014-05-22 15:44:07,2014-05-22 15:44:10,2014-05-22 15:44:14,2014-05-22 15:44:18,2014-05-22 15:44:22,2014-05-22 15:44:25
430.1,257.8060300390167,257.12121779457976,257.5505831740584,257.5674729060455,258.09847977223467,257.7039114659952,257.9597798757433,257.526912751528,257.26714321518136,257.7208227771133,257.9635692174797,257.4423403789576,257.4126760645969,257.17856540606,256.7801856711137,257.5019510419769,257.3174024204502,257.6363176778822,257.20475533967857,257.4438358893681,257.30750240913915,258.15157508344237,257.88095681474056,257.18429285803495,257.37238107601,257.3804376716314,257.55203044344915,257.3155947367377,257.4622978737392,257.2166885397109,257.68454737369433,257.4156514253108,257.7928160466188,257.59136087441937,257.6753061797391,257.85728051354556,257.5104732722607,257.6408544709116,257.75727718661483,257.7873032617498,256.57341099469375,257.32171796173407,257.41971916204693,258.0017175602431,257.5962880506309,257.71613723548467,257.3712442772574,257.5621900788052,257.7795773237119,257.5702868385158,257.0842745235848,257.44393806112487,257.5937242231587,257.0260374468238,256.7405911683387,257.5385978842104,257.37018340788495,257.1381772675966,257.00432299412,257.25142652316094,257.4192310330395,257.33032416394747,257.5318776215805,257.93612314308643,258.29926945797274,257.56045722114845,257.4247794479102,257.51023246898933,254.61476217725277,242.20339255740612,237.1736897355111,232.36651694115565,227.31867523720288,221.6821216900992,214.5395404419777,208.28202399420104,201.94530220260816,195.93010444683398,191.15666649427538,185.98038920676092,180.59159254896505,174.44332048208247,169.70777637042065,165.99153832438788,161.02124436349524,155.51821725036058,151.23170867581345,146.74620081394804,142.63554331524617,139.05779000096038,135.57035526076012,131.42103319798233,127.96995302093526,125.03286078585958,121.0793630293679,118.62133098358834,116.24695116607961,111.70666973442411,107.95602781330174,104.62369030779848,100.42707104769843,96.5494197538305,93.98118419249667,91.40545997129195,88.29178340082015,85.30407520841453,83.48638425071584,80.76546078253241,78.59044244915677,77.02204591902867,75.09306946668156,73.69123957465649,71.99715620534576,70.46511058258113,69.30202160918003,68.22893865608526,66.9165453743054,65.67136538170774,65.75907975284218,64.79996723187122,64.60719507342813,64.66415433861204,64.62000603494664,65.49320001710652,65.66287749656942,66.51980348049813,67.14734315967567
430.47,268.34705905747376,267.6822794700267,268.0814463800292,268.1583533040123,268.5093123972223,268.1948107875447,268.4307150495806,268.0077876346362,267.8380405584012,268.15165099853095,268.40443861370784,267.9032078357707,267.9035299836847,267.6794970073708,267.2410647399936,267.9829539895393,267.7482712094326,268.0772162765438,267.6857217725376,267.8246751940769,267.8084587656182,268.6923395252516,268.3517508039695,267.6652313080147,267.903299053958,267.88130448663117,268.0730292077088,267.77646251932094,267.82316364560745,267.70755277133276,268.0054187255625,267.87652010227293,268.2036978619782,268.0922183524691,268.2061697839064,268.2481196806313,268.0413596904558,268.05188455819473,268.26815271133984,268.34824444080095,267.1943304977399,267.7726383788207,267.86063828332465,268.47250415443426,268.1171912021349,268.197042560662,267.82214288556514,268.0430525044213,268.1304157705698,268.05124533831145,267.5152110197055,267.964833098984,267.99458443653475,267.42682878100936,267.3415285152588,267.9794302536627,267.7409172618661,267.719015415699,267.3852663117844,267.72234311949626,267.9301202251655,267.7911137553851,267.99268320217027,268.28694081165634,268.66003711188,268.0812188547287,267.97574547891656,267.9610944649197,264.9456058633001,251.87433972206264,246.72446563851634,241.77718973762762,236.49938959696885,230.54273139205503,223.30023459653864,216.78271548359558,210.2660358225129,203.82075507844,198.95720486894157,193.63095457611965,187.7921275422626,181.58384698828937,176.52825753285657,172.74211832899596,167.56181658204198,161.75878174738637,157.37208698179154,152.68665231083565,148.4759037664163,144.6782098791489,141.08085524996437,136.68136576445937,133.18036320697908,130.06330599421116,125.92988965103899,123.47174953799706,120.90735125467697,116.21711152329212,112.38641757670925,108.76395532303542,104.52732521833428,100.50983530337828,97.77152974747068,95.03583438558465,91.89221465318968,88.77458368557797,86.78665467305018,83.96590045618404,81.7808220687493,80.11225436265818,78.05328593700477,76.63168169894678,74.83751165818623,73.33550938856962,72.06238079273828,70.88934652504335,69.61707186000865,68.31179210229041,68.36946120730565,67.33028815807461,67.12772472004113,67.26464382507271,67.13050073381342,67.99366109991277,68.18351640663815,69.13040341763508,69.73784886726801
430.85,279.2481158872404,278.5833698394046,279.00233291589103,279.1392574965188,279.530167525588,279.0957344150821,279.3416754983865,279.01868616323384,278.8389621541404,278.9425016043112,279.25533150713136,278.79409873736233,278.6944069816667,278.64045378709545,278.10196756749167,278.8639840437926,278.7391634791983,278.9981391616559,278.6267143252037,278.7055371826967,278.6794409695696,279.5331246276503,279.35256625236684,278.59619512150744,278.7542418421207,278.8521947290634,278.93405496559717,278.6973537554874,278.70405281671543,278.718440360566,278.90631362748115,278.8374122569908,279.0546035101853,279.07309900560125,278.98705672872694,279.04898152790855,279.06227006589944,278.9729424856747,279.1890518988953,279.2392110571237,278.1752748522198,278.7135836720449,278.841582245718,279.3633120079279,279.008118763139,279.10797235408745,278.65306578058386,278.9839382388378,279.05127687815366,279.0022297435071,278.49617282653213,278.87575232705547,278.9554678989209,278.4276415026053,278.30249119587944,278.96028511958673,278.67167094973877,278.6498762164529,278.32623512452074,278.7232844887055,278.8410334495111,278.69192468713186,278.79351055520846,279.18778057937675,279.6008255131902,279.0020010730003,279.01673761886906,278.8119797580374,275.5764723516731,261.90531248576383,256.64526251187306,251.62788071778812,245.9301232637555,239.7233575724421,232.39094751203362,225.49342566189267,218.6667892699826,212.05142329468399,206.89775779427438,201.3415352257313,195.25267699483842,188.88438772439378,183.56875169968262,179.67271400940425,174.20240426595487,168.15936150108854,163.61247551225554,158.7271160103419,154.40627395950997,150.31864110539655,146.6113687523904,141.96170731921964,138.42078447913215,135.05376323522094,130.8004305057282,128.24217940468702,125.50776215647963,120.7775652523998,116.71681787426294,112.95422750084634,108.53758625844677,104.40026208399496,101.50188464176824,98.68621891918258,95.35265756102862,92.13510590536742,90.03693240409626,87.04635201290742,84.79121194833078,83.10246843989933,80.91350825787725,79.41213577254226,77.51787671786025,75.95591897309839,74.71274968396023,73.43976541748677,72.07761257505524,70.79223035586182,70.77985297134921,69.73061775795918,69.51826868142746,69.62514654089722,69.47100880291984,70.28413464441647,70.54417258454652,71.55101956928925,72.18836824263309
431.22,290.93914490569733,290.2544315148515,290.6231961218618,290.7801378944857,291.1610001505758,290.76663373663166,291.0126106722238,290.669561046342,290.52985949736023,290.51332982572876,290.94620090335945,290.39496619417525,290.31526090075454,290.2613853884062,289.7228466363715,290.51498699135493,290.3400322681807,290.66903776031756,290.1676807580627,290.4063764874055,290.2703973260486,291.1538890694596,290.9733602415959,290.2571335714873,290.3251598200686,290.4530615440632,290.5750537298568,290.2882215380706,290.3449185885837,290.2193045921879,290.5071849793493,290.4282809339529,290.7254853255447,290.633956483651,290.6179203328943,290.6798206949943,290.76315648409457,290.54397257295784,290.88992742362024,290.91015223617484,289.83619435526595,290.2845040891316,290.5225013669957,290.96409860211907,290.74902191464304,290.7188776792649,290.36396438889153,290.6148006644539,290.73211532501165,290.5131882433027,290.0571093226528,290.3666473649145,290.596328112297,290.0284328367909,290.0434285427995,290.57111748903907,290.27240480371995,290.28071436455537,290.11717844218504,290.3642010850407,290.45192264163705,290.34271427856936,290.4343161357982,290.67859824794664,291.17159316709746,290.6027627065806,290.5977036498755,290.4328417539678,286.9073160377204,272.7162596504204,267.2060384148783,262.01855351426013,256.1908376235214,249.60396727439792,241.90164166659454,234.75411715128723,227.69752288988732,220.83207392628998,215.4982961689405,209.66210059508998,203.353211988136,196.66491423060071,191.10923286211857,187.1332940140123,181.36297648450164,175.1299259981143,170.25285381823363,165.2475675072295,160.73663441068013,156.49906098358505,152.60186874159467,147.8520398856967,144.0811946651759,140.5842084435726,136.17095712739928,133.5125979590957,130.57816224507695,125.73800704126779,121.52720763767044,117.53449251608328,112.97784042908256,108.67067763354274,105.55223019674224,102.77659333347526,99.25308881339814,95.92561438253077,93.75720282643061,90.59679168655902,88.24159156792328,86.45267688352888,84.11372472820045,82.61257789683253,80.69823217070075,79.06631777908692,77.69310886751848,76.36017328644485,74.95813906075847,73.5726570764445,73.60023442581266,72.55093868416256,72.26879832804048,72.32563602735794,72.24150350178664,72.98459572722271,73.31481149461524,74.30161950642622,75.05887395022543
431.59,303.22017392415427,302.65549319029844,303.0340593278325,303.09101829245253,303.3618327755634,303.0875330581812,303.30354584606107,302.9904359294502,302.8807568405799,302.77415804714633,303.2370702995876,302.65583365098826,302.5461148198424,302.4023169897171,302.0437257052513,302.8159899389173,302.58090105716315,302.91993635897927,302.48864719092177,302.6972157921142,302.47135368252765,303.30465351126884,303.25415423082495,302.5480720214671,302.5860777980166,302.63392835906296,302.91605249411634,302.6090893206538,302.63578436045196,302.62016882380976,302.76805633121745,302.7891496109151,303.0863671409042,303.00481396170073,302.91878393706156,303.01065986208005,302.93404290228966,302.8350026602409,303.1308029483452,303.181093415226,302.19711385831204,302.6354245062183,302.7534204882734,303.2748851963102,302.98992506614695,302.90978300444226,302.6248629971992,302.87566309007,302.95295377186955,302.8441467430984,302.3880458187735,302.5475424027736,302.8771883256731,302.3192241709765,302.3143658897196,302.87194985849135,302.61313865770114,302.5615525126579,302.3081217598494,302.705117681376,302.7928118337629,302.66350387000693,302.68512171638804,302.94941591651656,303.52236082100467,302.93352434016083,302.9586696808818,302.6337037498982,299.0181597237678,284.08720681507685,278.38681431788353,272.9992263107322,266.95155198328735,260.0545769763537,252.0323358211555,244.5248086406818,237.18825650979207,230.182724557896,224.55883454360668,218.50266596444874,211.84374698143355,205.01544073680762,199.26971402455453,195.10387401862042,189.0735487030484,182.58049049514005,177.46323212421171,172.36801900411712,167.51699486185032,163.12948086177357,159.09236873079894,154.1123724521738,150.22160485121967,146.4846536519242,142.02148374907034,139.25301651350438,136.24856233367433,131.12844883013582,126.73759740107792,122.49475753132026,117.8980945997184,113.38109318309057,110.07257575171624,107.176967747768,103.52352006576763,100.06612285969422,97.75747324876494,94.5572313602107,92.03197118751581,90.2128853271584,87.73394119852364,86.18302002112284,84.10858762354121,82.46671658507543,80.99346805107675,79.62058115540293,78.22866554646171,76.77308379702717,76.72061588027611,75.65125961036597,75.40932797465345,75.35612551381863,75.33199820065337,76.13505681002891,76.41545040468395,77.46221944356313,78.18937965781777
431.96,315.33120294261124,314.67655486574535,314.92492253380317,315.17189869041937,315.30266540055106,315.11843237973073,315.4344810198983,314.9613108125584,314.8816541837997,314.7849862685639,315.2779396958157,314.5867011078012,314.52696873893024,314.343248591028,313.91460477413113,314.7569928864797,314.49176984614553,314.9608349576409,314.41961362378083,314.518055096823,314.2823100390067,315.2754179530781,315.14494822005395,314.52901047144684,314.56699577596453,314.4647951740627,314.867051258376,314.49995710323697,314.6166501323203,314.6410330554316,314.68892768308564,314.84001828787723,314.9472489562637,315.0756714397505,314.9896475412289,315.01149902916575,314.9549293204848,314.796032747524,315.1516784730702,315.2720345942771,314.16803336135825,314.61634492330495,314.77433960955113,315.1556717905014,314.950828217651,314.8806883296196,314.655761605507,314.87652551568607,314.9037922187275,314.8051052428941,314.28898231489416,314.46843744063267,314.8880485390491,314.52001550516206,314.3653032366397,314.85278222794364,314.5238725116824,314.7323906607603,314.2490650775138,314.61603427771126,314.8037010258889,314.7142934614445,314.6259272969778,314.9202335850864,315.453128474912,314.8942859737411,314.97963571188825,314.5845657458286,310.7790034098151,295.2281539797333,289.1675902208888,283.67989910720416,277.3622663430533,270.0951866783096,261.88302997571645,254.11550013007636,246.44899012969677,239.10337518950195,233.21937291827285,227.02323133380742,220.11428197473109,213.04596724301456,207.11019518699044,202.73445402322847,196.38412092159518,189.73105499216587,184.48361043018986,179.00847050100475,174.0173553130205,169.37990073996207,165.25286872000316,160.09270501865086,156.10201503726347,152.1850988602758,147.66201037074146,144.68343506791308,141.45896242227164,136.27889061900382,131.60798716448542,127.2250225465572,122.46834877035423,117.80150873263841,114.34292130669022,111.34734216206067,107.48395131813712,103.9066313368576,101.47774367109923,98.23767103386234,95.6123508071083,93.61309377078794,91.07415766884682,89.48346214541314,87.3589430763817,85.64711539106395,84.10382723463499,82.67098902436103,81.23919203216494,79.64351051760985,79.5309973347396,78.47158053656938,78.15985762126647,78.18661500027937,78.11249289952019,78.9155178928352,79.24608931475265,80.34281938070015,81.03988536541013
432.33,328.73223196106824,327.87761654119225,328.225785739774,328.37277908838627,328.58349802553874,328.43933170128025,328.76541619373563,328.20218569566657,328.16255152701956,328.0258144899815,328.51880909204385,327.9875685646142,327.887822658018,327.70418019233875,327.335483843011,327.99799583404206,327.76263863512804,328.09173355630253,327.77058005663986,327.75889440153185,327.48326639548577,328.5461823948873,328.39574220928296,327.82994892142665,327.79791375391244,327.75566198906256,328.12805002263565,327.7208248858201,327.8575159041885,327.93189728705346,327.92979903495376,328.0708869648394,328.2481307716231,328.2965289178003,328.27051114539626,328.32233819625156,328.2158157386799,328.0570628348071,328.37255399779514,328.5729757733282,327.5489528644044,327.8572653403917,327.9752587308288,328.4264583846925,328.2017313691549,328.051593654797,327.93666021381466,328.1773879413021,328.1546306655855,328.0960637426897,327.4399188110149,327.6293324784918,328.09890875242525,327.6908068393476,327.6362405835598,327.983614597396,327.8446063656636,327.94322880886284,327.5900083951782,327.8869508740466,327.9745902180149,328.09508305288216,327.8767328775676,328.2210512536563,328.6538961288193,328.2050476073214,328.16060174289464,327.8054277417591,323.62984709586254,307.43910114438984,301.148366123894,295.47057190367616,288.90298070281926,281.34579638026537,272.7637241302774,264.6561916194709,256.73972374960147,249.054025821108,242.86991129293898,236.48379670316612,229.25481696802862,221.93649374922146,215.70067634942632,211.07503402783658,204.53469314014197,197.5816194891916,192.21398873616792,186.44892199789237,181.29771576419063,176.41032061815056,172.0133687092074,166.67303758512793,162.53242522330726,158.39554406862746,153.78253699241253,150.63385362232174,147.28936251086904,141.94933240787182,137.0783769278929,132.44528756179417,127.47860294099004,122.71192428218617,119.00326686166417,115.91771657635343,111.7943825705066,108.16713981402097,105.58801409343357,102.29811070751401,99.4927304267008,97.3933022144175,94.77437413916999,93.11390426970343,90.80929852922225,89.1075141970525,87.46418641819318,85.94139689331911,84.47971851786818,82.86393723819256,82.63137878920301,81.57190146277279,81.23038726787945,81.31710448674008,81.20298759838693,82.04597897564142,82.28672822482136,83.38341931783705,84.18039107300243
432.7,341.54326097952514,340.7086782166392,340.9866489457447,341.18365948635306,341.3643306505264,341.28023102282987,341.5463513675729,340.8230605787748,340.99344887023926,340.7566427113991,341.43967848827197,340.8684360214271,340.7186765771058,340.44511179364963,340.1363629118907,340.6789987816045,340.53350742411044,340.9226321549643,340.5015464894988,340.4497337062405,340.2642227519647,341.2569468366966,341.17653619851194,340.7708873714065,340.62883173186043,340.4265288040623,340.90904878689537,340.4916926684034,340.75838167605673,340.6827615186753,340.67067038682194,340.86175564180155,341.0190125869827,341.05738639585,341.00137474956364,341.0831773633373,341.02670215687505,340.8780929220902,341.13342952252015,341.3139169523794,340.3698723674506,340.52818575747835,340.8461778521065,341.26724497888364,341.082634520659,340.86249897997436,340.6375588221224,341.0082503669182,340.95546911244344,340.9170222424855,340.21085530713555,340.34022751635075,340.82976896580135,340.48159817353314,340.41717793047985,340.74444696684833,340.6553402196447,340.70406695696533,340.3709517128425,340.5478674703818,340.8454794101408,340.76587264431976,340.73753845815736,341.1118689222262,341.34466378272657,340.9558092409016,340.90156777390104,340.51628973768936,336.14069078190994,319.2300483090463,312.75914202689927,306.9012447001482,299.93369506258523,292.1264060822212,283.1444182848383,274.7568831088654,266.54045736950616,258.55467645271403,252.1504496676052,245.6243620725249,238.0353519613262,230.36702025542837,224.0911575118623,219.2556140324446,212.34526535868875,205.16218398621743,199.55436704214605,193.55937349477995,188.22807621536077,183.1907404963391,178.5838686984117,173.06337015160497,168.79283540935108,164.42598927697904,159.7830636140836,156.36427217673045,152.86976259946636,147.38977419673984,142.3187666913004,137.42555257703114,132.3288571116259,127.462339831734,123.51361241663818,120.3080909906461,116.06481382287609,112.18764829118436,109.49828451576789,106.16855038116566,103.18311004629331,101.00351065804705,98.3345906094932,96.54434639399375,94.1396539820627,92.42791300304103,90.60454560175145,89.0918047622772,87.58024500357146,85.93436395877521,85.5317602436665,84.50222238897612,84.13091691449247,84.25759397320078,84.16348229725375,85.01644005844761,85.25736713489005,86.34401925497403,87.18089678059476
433.08,356.72431780929185,355.8197685860171,356.0575354816065,356.25456367885965,356.4051857788922,356.44115465036714,356.63731181637877,355.87395910737234,356.04437046597855,355.8674933171793,356.63057138169535,356.01932692301875,355.6695535750879,355.55606857337426,355.07726573938885,355.67002883585775,355.5543996938761,356.0535550400763,355.58253904216485,355.4705956948603,355.3352049559161,356.3077319390952,356.21735164690944,355.8018511848992,355.6197745200232,355.4174190464945,355.9600745447836,355.4925839045699,355.8192708471648,355.76364910790846,355.80156528874056,355.9926477965194,355.94991823518967,356.24826704898226,356.08226169438404,356.2740392106145,356.1576125323187,355.84915084957015,356.2643287100755,356.4348835687021,355.40081672193037,355.5491310507025,355.91712181449975,356.2980528323774,356.1635620816631,355.9234287733998,355.7084817171411,356.1991361013348,355.90633022002726,356.1380066476811,355.36181711396216,355.3211467444223,355.86065242818756,355.5524108951291,355.48814061110045,355.72530183277223,355.6660939075173,355.69492775771926,355.4119205255789,355.60880883959095,356.03639263448633,355.7666835760665,355.7483658111955,356.1427086899466,356.4054521840368,356.0665914591732,356.05255991385354,355.6271750308071,350.8615572702828,333.0710210727476,326.519938900256,320.34193568030867,312.99442872937186,304.91703226260825,295.5851312003333,286.8375932871626,278.23121081697593,269.815344668958,263.261002592938,256.3349427221365,248.395901413902,240.4375609915328,233.96165167868838,228.82620971285294,221.65585304260162,214.1627637399196,208.27475557261002,201.93983719428616,196.5084464084545,191.16117172258672,186.3743822008377,180.68371170636522,176.18325668150413,171.58644651798883,166.8236044687728,163.16470204342048,159.50017350126905,153.87022792584747,148.47916698885408,143.36582475484207,138.05911815173837,133.04276661235065,128.85396731093576,125.43847552424401,121.10525673071507,117.11817051097381,114.22856224681396,110.70900193788893,107.65349992587485,105.34372473528816,102.53481293036566,100.59480046758918,98.21001904173673,96.32832258756974,94.44491449297342,92.84222365472064,91.33078571861805,89.4548022123466,88.97215200771006,88.02255198886073,87.68146087587883,87.80809668902529,87.67399036636016,88.46691360295131,88.80802331279844,89.83463540662817,90.86141615595986
433.45,371.04534682774874,370.05083026146406,370.42839868757727,370.43544407682646,370.7360184038798,370.7220539719167,370.90824699021607,370.14483399048055,370.3152678091983,370.0883215385969,370.76144077792355,370.2101943798317,369.91040749417573,369.757000174685,369.3081448082687,369.7610317834201,369.8352684828585,370.1844536387379,369.91350547502395,369.8114349995691,369.66616131239516,370.4584963809045,370.42814563613837,370.032789634879,369.9106924979711,369.6382858614943,370.15107330904317,369.703451687153,370.10013661903304,370.15451333953047,369.9524366406087,370.27351647348155,370.24080005054907,370.53912452703196,370.3831252985515,370.53487837770024,370.29849895051376,370.1301809368532,370.49520423480055,370.6658247477533,369.7317362249765,369.8300514677892,370.14804093577743,370.5988394265685,370.50446523316714,370.1943340985772,369.9793803254489,370.48999852695084,370.1971686668852,370.2889651474767,369.6527536100829,369.6320417822814,370.1915126415635,369.7832022293146,369.6590779580206,370.0261342022246,369.95682776149863,369.9257659058217,369.76286384324317,369.85972543592624,370.3472818266123,370.067473167504,369.95917139178533,370.34352635851656,370.666219837944,370.2873530927535,370.2835259448599,369.92803702673757,364.67240095633025,346.40196823740416,339.3707148032613,333.0326084767807,325.54514308913775,317.1076419645641,307.3858253548943,298.15828477655714,289.3319444368807,280.565995300564,273.6915409676041,266.62550809149525,258.24643640719955,250.0580874977397,243.19213284112428,237.93678971746098,230.38642526114836,222.68332823694536,216.50513387858814,210.0502886911738,204.32880685962465,198.71159160077525,193.81488219004194,187.8640442728423,183.1936668675479,178.42689172634041,173.4941310904439,169.68512059782913,165.81057358986638,160.03066971471551,154.34955675226158,148.97608977007897,143.60937232237416,138.34318216189845,133.97431286590975,130.41884993853674,125.82568798308458,121.76867898813722,118.66883266914829,115.08944161154056,111.94387954546738,109.43393317891767,106.54502940068889,104.56524259187947,102.1103744945772,100.08872139355827,98.08527367653164,96.41263152367873,94.83131220432128,92.84522893292927,92.3725334621735,91.3528729150641,90.99199052249176,91.10858617548595,90.98448506522692,91.7973746857576,92.10866222286717,93.17523534376514,94.27192186355222
