Wavelength,2013-09-04 17:28:31,2013-09-04 17:28:35,2013-09-04 17:28:38,2013-09-04 17:28:42,2013-09-04 17:28:45,2013-09-04 17:28:49,2013-09-04 17:28:52,2013-09-04 17:28:55,2013-09-04 17:28:59,2013-09-04 17:29:02,2013-09-04 17:29:06,2013-09-04 17:29:09,2013-09-04 17:29:13,2013-09-04 17:29:16,2013-09-04 17:29:20,2013-09-04 17:29:23,2013-09-04 17:29:27,2013-09-04 17:29:30,2013-09-04 17:29:33,2013-09-04 17:29:37,2013-09-04 17:29:40,2013-09-04 17:29:44,2013-09-04 17:29:47,2013-09-04 17:29:51,2013-09-04 17:29:54,2013-09-04 17:29:58,2013-09-04 17:30:01,2013-09-04 17:30:04,2013-09-04 17:30:08,2013-09-04 17:30:11,2013-09-04 17:30:15,2013-09-04 17:30:18,2013-09-04 17:30:22,2013-09-04 17:30:25,2013-09-04 17:30:29,2013-09-04 17:30:32,2013-09-04 17:30:36,2013-09-04 17:30:39,2013-09-04 17:30:42,2013-09-04 17:30:46,2013-09-04 17:30:49,2013-09-04 17:30:53,2013-09-04 17:30:56,2013-09-04 17:31:00,2013-09-04 17:31:03,2013-09-04 17:31:07,2013-09-04 17:31:10,2013-09-04 17:31:13,2013-09-04 17:31:17,2013-09-04 17:31:20,2013-09-04 17:31:24,2013-09-04 17:31:27,2013-09-04 17:31:31,2013-09-04 17:31:34,2013-09-04 17:31:38,2013-09-04 17:31:41,2013-09-04 17:31:45,2013-09-04 17:31:48,2013-09-04 17:31:51,2013-09-04 17:31:55,2013-09-04 17:31:58,2013-09-04 17:32:02,2013-09-04 17:32:05,2013-09-04 17:32:09,2013-09-04 17:32:12,2013-09-04 17:32:16,2013-09-04 17:32:19,2013-09-04 17:32:22,2013-09-04 17:32:26,2013-09-04 17:32:29,2013-09-04 17:32:33,2013-09-04 17:32:36,2013-09-04 17:32:40,2013-09-04 17:32:43,2013-09-04 17:32:47,2013-09-04 17:32:50,2013-09-04 17:32:54,2013-09-04 17:32:57,2013-09-04 17:33:00,2013-09-04 17:33:04,2013-09-04 17:33:07,2013-09-04 17:33:11,2013-09-04 17:33:14,2013-09-04 17:33:18,2013-09-04 17:33:21,2013-09-04 17:33:25,2013-09-04 17:33:28,2013-09-04 17:33:31,2013-09-04 17:33:35,2013-09-04 17:33:38,2013-09-04 17:33:42,2013-09-04 17:33:45,2013-09-04 17:33:49,2013-09-04 17:33:52,2013-09-04 17:33:56,2013-09-04 17:33:59,2013-09-04 17:34:03,2013-09-04 17:34:06,2013-09-04 17:34:09
339.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339.48,212.6,214.0,212.8,213.7,213.7,211.4,211.4,213.6,212.2,212.3,211.6,214.2,212.7,212.9,213.7,213.2,212.8,212.0,212.6,214.1,213.5,211.6,212.6,210.9,211.8,214.0,212.5,212.3,211.8,213.1,212.9,214.9,211.2,213.3,213.9,213.4,212.4,212.3,210.8,211.7,212.3,212.2,213.1,211.7,212.6,212.5,213.5,212.9,212.5,212.4,213.0,212.8,211.1,214.5,211.6,212.4,212.8,212.6,213.1,212.2,212.2,211.7,214.1,211.8,210.1,213.2,211.3,214.2,213.4,212.9,214.5,211.5,213.6,212.9,212.6,213.7,212.4,213.7,212.1,212.9,211.3,212.1,212.5,212.2,211.4,212.7,213.0,213.2,212.6,213.9,212.4,213.0,212.4,212.5,212.8,213.0,211.8,212.9,213.5
339.86,215.2,214.8,214.8,214.2,215.6,212.7,213.8,214.5,215.2,214.1,213.9,213.4,215.1,213.3,214.7,215.5,214.0,214.7,213.5,214.8,214.5,214.9,214.7,213.7,214.5,213.8,215.0,214.3,214.3,214.5,213.8,214.2,215.2,215.7,213.2,213.7,215.6,213.5,214.0,212.7,214.3,213.7,214.2,213.5,213.4,215.9,214.6,214.2,213.3,213.2,212.9,215.5,213.5,213.8,213.0,213.8,214.9,214.8,215.3,213.2,214.4,214.5,215.4,213.1,213.8,214.2,214.2,214.0,213.7,212.0,212.8,213.7,213.3,215.3,213.6,213.9,215.7,212.8,213.7,213.3,214.7,214.2,213.8,215.1,214.8,213.5,213.7,214.2,214.8,212.9,213.7,212.8,213.1,213.8,214.0,212.4,213.3,214.1,216.2
340.24,216.6,216.0,215.8,216.3,215.1,216.3,216.0,215.2,213.7,213.9,216.1,214.7,216.4,215.4,213.8,216.1,215.6,215.0,216.3,217.1,216.4,215.2,215.8,213.4,212.9,215.6,217.8,214.7,216.5,213.9,216.4,217.3,214.6,215.5,215.5,214.4,214.3,217.9,215.4,215.5,214.7,214.9,214.3,216.1,216.1,215.9,215.0,216.5,216.2,214.2,218.6,215.4,213.0,215.3,215.5,215.8,215.1,215.1,214.5,217.3,215.1,214.9,214.9,216.2,216.1,215.2,215.0,216.4,214.2,217.9,215.3,216.3,214.9,215.4,215.5,216.7,216.0,215.5,217.2,216.5,213.3,216.2,215.9,215.1,212.2,215.5,214.8,216.0,215.1,214.6,213.9,214.2,215.0,213.9,215.1,214.9,216.4,216.5,214.9
340.63,217.5,217.5,218.5,216.0,216.8,216.2,216.0,216.7,218.0,214.3,216.5,217.8,215.5,218.3,216.9,215.9,215.6,218.1,217.0,217.3,216.5,216.5,216.2,216.8,216.4,216.8,217.9,217.7,214.2,216.7,217.4,217.5,216.2,217.2,215.8,216.2,218.4,216.9,219.6,216.7,217.8,218.2,217.4,217.3,216.5,215.4,218.4,217.4,216.1,216.8,216.8,217.0,215.2,218.3,216.7,217.0,217.5,217.6,217.9,218.1,218.0,217.2,218.3,216.1,217.3,216.2,214.8,215.6,215.6,217.1,215.1,216.1,217.4,217.8,217.3,217.3,215.2,216.7,217.4,216.5,215.8,216.6,218.0,217.5,216.1,217.0,216.3,218.0,216.3,216.3,216.6,216.3,217.4,217.0,216.0,216.4,216.3,217.8,217.4
341.01,233.6,233.9,233.1,231.9,234.9,232.6,233.3,233.9,232.8,232.5,232.6,233.2,234.1,234.9,232.1,231.3,231.5,233.1,232.7,233.2,232.0,234.2,232.8,235.1,232.4,233.5,229.8,231.9,233.2,233.3,234.3,232.9,232.5,234.0,233.2,232.5,233.2,233.6,232.4,232.7,232.5,229.3,231.8,233.0,232.9,234.2,232.8,232.1,233.3,233.6,233.0,234.5,233.6,232.7,232.8,231.0,233.6,233.8,233.1,231.3,233.4,232.1,232.6,234.1,232.2,233.7,232.6,233.1,233.3,233.4,233.7,231.9,233.0,231.7,233.3,233.0,229.8,232.9,233.0,233.1,233.6,231.9,233.5,233.4,232.3,231.8,231.8,232.2,232.8,232.4,232.5,232.3,233.9,233.1,231.2,232.7,232.1,232.8,233.4
341.39,219.2,221.5,219.6,218.7,219.7,220.4,218.4,220.6,220.0,220.3,219.4,221.6,218.7,219.3,220.0,221.3,219.2,219.9,219.4,219.9,219.3,218.8,218.5,218.3,221.5,220.5,221.4,219.1,219.3,217.1,220.8,219.7,221.0,221.2,218.7,219.7,219.4,218.8,219.9,220.9,220.3,219.9,220.7,220.3,219.2,219.0,221.5,220.5,220.9,220.2,221.1,220.5,220.0,219.7,218.3,218.6,218.7,218.9,219.5,221.1,218.8,220.7,219.1,219.8,220.3,222.6,219.1,219.6,220.6,220.7,219.7,222.2,219.0,220.9,218.2,219.7,219.6,218.9,220.4,218.5,220.1,218.4,221.8,219.4,217.9,220.2,218.9,219.4,219.5,219.7,219.6,221.5,219.5,217.5,219.4,219.6,221.0,220.0,219.7
341.78,222.0,223.1,221.0,223.1,223.1,224.6,222.2,222.3,223.6,222.0,223.0,223.4,223.3,222.2,221.7,222.6,221.2,223.0,222.8,223.9,222.8,222.7,223.8,222.9,221.8,223.0,224.0,223.8,223.5,222.5,223.4,223.1,223.2,222.8,223.1,224.8,222.0,224.0,222.6,222.1,223.1,223.6,223.2,222.9,223.7,225.3,223.1,223.0,222.9,224.7,222.6,222.1,222.2,223.2,221.9,223.0,222.4,222.6,223.7,222.9,224.1,223.0,222.0,222.1,220.9,221.8,225.8,223.0,222.1,223.1,223.2,222.6,222.3,222.7,223.2,223.5,221.9,223.7,224.0,222.9,222.3,223.1,222.3,222.1,225.4,222.3,222.6,223.4,222.4,222.2,223.5,223.0,222.7,222.0,223.1,222.7,222.2,223.2,223.1
342.16,225.8,224.8,226.6,225.7,226.3,225.1,226.7,226.9,225.8,224.9,225.3,225.5,226.2,227.1,224.4,224.6,226.4,224.8,227.3,224.5,224.8,226.3,224.9,224.4,225.2,226.8,225.1,225.5,225.7,226.2,226.9,226.1,224.9,223.6,226.3,224.1,224.4,225.1,225.1,224.3,225.2,225.4,225.6,223.4,225.0,225.0,225.8,225.4,226.3,225.7,225.7,225.0,225.4,225.8,225.7,226.0,226.2,228.2,223.3,224.0,226.2,225.2,226.4,224.8,225.3,225.9,226.8,225.1,225.5,226.6,226.1,226.0,225.6,224.0,226.2,225.8,224.2,226.2,225.3,226.7,224.7,225.5,227.5,225.4,224.9,224.4,224.2,224.1,224.7,225.5,225.6,224.1,226.2,224.0,225.1,225.9,225.6,225.6,226.3
342.54,224.6,223.9,224.4,224.5,223.3,224.2,224.0,222.8,226.2,222.8,223.5,222.7,223.8,222.4,223.5,222.4,221.0,222.8,224.0,224.7,223.4,223.5,224.6,221.7,223.6,222.0,221.5,222.6,222.5,221.9,223.8,223.1,224.2,224.4,224.4,224.0,224.3,224.2,224.0,223.5,224.9,223.9,223.9,222.8,223.6,224.5,223.3,222.9,223.7,223.5,224.1,224.3,222.4,224.2,221.9,223.8,221.7,223.0,224.3,226.0,221.4,222.6,224.5,223.6,222.9,224.0,225.1,223.7,223.1,224.5,224.9,224.0,225.7,224.3,224.0,224.9,223.9,223.6,224.3,224.1,222.8,221.9,222.4,223.1,225.0,224.5,222.9,225.6,221.8,222.3,223.3,222.0,224.1,223.9,222.5,223.3,222.9,222.6,224.0
