Wavelength,2013-09-11 15:21:55,2013-09-11 15:21:58,2013-09-11 15:22:00,2013-09-11 15:22:03,2013-09-11 15:22:06,2013-09-11 15:22:08,2013-09-11 15:22:11,2013-09-11 15:22:14,2013-09-11 15:22:16,2013-09-11 15:22:19,2013-09-11 15:22:22,2013-09-11 15:22:24,2013-09-11 15:22:27,2013-09-11 15:22:30,2013-09-11 15:22:32,2013-09-11 15:22:35,2013-09-11 15:22:38,2013-09-11 15:22:40,2013-09-11 15:22:43,2013-09-11 15:22:46,2013-09-11 15:22:48,2013-09-11 15:22:51,2013-09-11 15:22:54,2013-09-11 15:22:56,2013-09-11 15:22:59,2013-09-11 15:23:02,2013-09-11 15:23:04,2013-09-11 15:23:07,2013-09-11 15:23:10,2013-09-11 15:23:12,2013-09-11 15:23:15,2013-09-11 15:23:18,2013-09-11 15:23:20,2013-09-11 15:23:23,2013-09-11 15:23:25,2013-09-11 15:23:28,2013-09-11 15:23:31,2013-09-11 15:23:33,2013-09-11 15:23:36,2013-09-11 15:23:39,2013-09-11 15:23:42,2013-09-11 15:23:45,2013-09-11 15:23:47,2013-09-11 15:23:50,2013-09-11 15:23:53,2013-09-11 15:23:55,2013-09-11 15:23:58,2013-09-11 15:24:01,2013-09-11 15:24:03,2013-09-11 15:24:06,2013-09-11 15:24:09,2013-09-11 15:24:11,2013-09-11 15:24:14,2013-09-11 15:24:17,2013-09-11 15:24:19,2013-09-11 15:24:22,2013-09-11 15:24:25,2013-09-11 15:24:28,2013-09-11 15:24:30,2013-09-11 15:24:33,2013-09-11 15:24:36,2013-09-11 15:24:38,2013-09-11 15:24:41,2013-09-11 15:24:43,2013-09-11 15:24:46,2013-09-11 15:24:49,2013-09-11 15:24:52,2013-09-11 15:24:55,2013-09-11 15:24:57,2013-09-11 15:25:00,2013-09-11 15:25:03,2013-09-11 15:25:05,2013-09-11 15:25:08,2013-09-11 15:25:11,2013-09-11 15:25:13,2013-09-11 15:25:16,2013-09-11 15:25:19,2013-09-11 15:25:21,2013-09-11 15:25:24,2013-09-11 15:25:27,2013-09-11 15:25:30,2013-09-11 15:25:32,2013-09-11 15:25:35,2013-09-11 15:25:38,2013-09-11 15:25:40,2013-09-11 15:25:43,2013-09-11 15:25:46,2013-09-11 15:25:48,2013-09-11 15:25:51,2013-09-11 15:25:54,2013-09-11 15:25:57,2013-09-11 15:25:59,2013-09-11 15:26:02,2013-09-11 15:26:05,2013-09-11 15:26:08,2013-09-11 15:26:10,2013-09-11 15:26:13,2013-09-11 15:26:16,2013-09-11 15:26:19,2013-09-11 15:26:21
430.1,264.96424323363044,264.82747137803443,265.0798783904517,265.05061257684747,264.2711360029766,264.3371508462373,264.3279466065202,264.9445145079719,264.81543334572103,265.1077675121647,264.83283087816943,264.44431783737383,265.72149669611406,264.65934843159283,265.08214673800285,264.9409003932581,265.87003750801813,264.75916557095945,265.67039663121847,265.11423458465674,264.68642855501145,265.17434067510396,265.0966441276379,265.4291417437688,264.77131658830797,261.7733507054761,253.82711973906675,248.66629774067314,243.1021982492646,236.8393907133096,231.51660694340282,225.89547495538326,222.0181588106557,217.96013249939332,214.20426766336826,209.5538411470681,204.92950696603802,201.9023049840661,196.689969931703,191.62020328531258,185.90162039060414,182.15669442011952,177.29203978018776,174.1262498124858,170.57376177389594,165.6741160191864,162.0735226550264,158.1382452406999,154.5578155291209,151.40973038607478,148.9168336135856,144.83937584507294,141.15096145082902,138.0557869782883,134.2080766910149,131.22497335161881,127.62554847585605,125.32912756056172,121.80267447733877,119.76655601897356,116.779517189556,114.15855338354423,112.06640955299378,109.33086716098634,106.64668803193712,104.71385341101723,103.01055657487812,100.60516872073526,98.8541330817482,97.27216421177911,95.31551495400377,93.47228750145194,91.82268574647013,89.81425077664267,89.20461437758898,87.48259986554268,87.16320195233386,85.74122447228828,84.17364483070082,83.46474742407528,81.68805305624639,82.54358193408294,81.6646961801154,81.06080363128001,80.01386025350084,80.06944526069304,79.86733023702766,79.42135333580805,79.37884310237362,79.69818724067781,79.76476118374495,80.37777911736353,80.22620335064497,81.10118151005511,81.4413161554527,82.79593771098851,83.57804278470027,85.03229059256992,85.78568882273666,86.58875470754955
430.47,275.59491453181136,275.58825891923726,275.70051068047087,275.64144021831316,274.91164103435744,275.0777180899486,275.00860362198637,275.6451666382824,275.556061867941,275.7484744787642,275.61351612168914,275.0651442284729,276.3721152483133,275.33992441256765,275.81280542562536,275.551462816076,276.5408221432161,275.55988449832716,276.31103598694733,275.74490054951815,275.40716652604044,275.7348065153701,275.7572611303553,276.1696912720399,275.30206682311285,272.2140793229131,263.97783770759116,258.6069691463444,252.81272649605012,246.3699628598313,240.99699001002992,234.99599173397758,230.9386264755309,226.67059465863443,222.7447171756596,217.88427902072056,213.20992302362384,209.99274137013253,204.54034006626216,199.30064515464343,193.3120376694187,189.54707112268207,184.48223918597333,181.2767204331585,177.51411693544617,172.4944879928043,168.56395760051373,164.52862838109252,160.81796299042355,157.4499422515853,154.8871535567482,150.63961190811972,146.87118649220938,143.65599887819084,139.65818021202216,136.3951861620991,132.7658542352205,130.33928150791542,126.61290882517744,124.44668920338988,121.47985130661004,118.74873687691036,116.41660739587364,113.63093890324645,110.92677834106208,108.9538120838506,107.1504857053216,104.59503037761942,102.64431867811814,101.11244189381917,99.2256476224087,97.14242145654646,95.47295858702292,93.30445584670696,92.68471089456888,90.94281223443369,90.65333657695942,89.11149446186657,87.44390579218708,86.78492418125204,84.9881031788506,85.65376291510492,84.84495321350616,84.15108647107411,83.19408368412533,83.07968191674198,82.93760111883991,82.52148673049277,82.49925687826463,82.66861517462587,82.77511249325012,83.39817586429898,83.4265926437723,84.11148630235377,84.59171914171151,85.90624076116339,86.73840729301621,88.15268906550827,89.15615772000629,89.88916090529649
430.85,286.41560397318636,286.54906774533754,286.6511600594094,286.6322902284671,286.02215971523503,286.1383006645711,285.92927839462743,286.6158363937364,286.596707377248,286.82920055256903,286.72421988530385,286.12599295446654,287.1827505181396,286.22051596059606,286.773481915616,286.6520404395106,287.4016279847707,286.5506228561643,287.1916926225609,286.6155845134299,286.2979244422324,286.78528494591365,286.52789480882177,287.0702556524265,286.372837334534,283.0448276327131,274.49857508067043,268.6576586981148,262.83326901977574,255.9305504697726,250.35738342980926,244.36652247956096,240.16910677999732,235.56106930866574,231.54517883693183,226.43472872879613,221.55035032600918,218.07318955041686,212.5407202044581,207.01109896638863,200.91246622603902,196.97745800639504,191.6324439811044,188.40720377330882,184.27448169595712,179.16487001976327,175.12440430128447,170.9090218766309,166.9081144371669,163.49015984319072,160.77748214702325,156.32985435124883,152.5114176157891,149.27621650511773,144.99828653089443,141.6254047242139,137.79616825835146,135.25943961600842,131.39314950674142,129.01682598738495,125.97019445385462,123.10892532955664,120.63681058585829,117.93101258448657,115.02687109097424,112.94376963973356,111.11041292037173,108.40488829550046,106.41450929060616,104.68272708077915,102.77578387644623,100.60255903204892,98.88323880164472,96.6746664592054,95.96481002011579,94.17303034302445,93.70347484008836,92.17177174846053,90.42417380668651,89.6251057156498,88.0181546561198,88.59394878750601,87.64521719374525,87.091376955187,85.99431315341542,85.86992496890035,85.73787932178223,85.46162373043926,85.29968183728778,85.48905467435628,85.65547329760682,86.2085833341246,86.16699245833553,86.97179933228212,87.50213301949086,88.75655200188352,89.5487816529082,91.08309830798548,92.15663929017505,92.85957808136105
431.22,298.12627527136743,298.1798552865404,298.3317923494285,298.39311786993284,297.73266474661585,297.82886790828235,297.6699354100937,298.3864885240468,298.44733589946793,298.5299075191685,298.5849051288235,297.58681934556546,298.83336907033885,297.89109194157095,298.44414060323857,298.37260286232856,299.09241261996874,298.341341783532,298.98233197828966,298.3662504782913,297.83866241326143,298.52575078617974,298.2085118115392,298.8208051806977,298.1735875693388,294.5055562501501,285.799293049195,279.66833010378605,273.6137972665612,266.4211226162944,260.4577664964364,254.32703925815534,250.00957444487253,245.01153146790685,240.96562834922318,235.5451666024486,230.73076638359504,227.02362593648326,221.19109033901725,215.50154083571948,209.11288350485353,204.89783470895765,199.5626433868899,196.02767439398153,191.60483685750728,186.57524199338118,182.18483924677184,177.90940501702354,173.78826189846959,170.14037170870122,167.42780209018576,162.72009041429556,158.6916426571694,155.38642840502033,150.9483900519017,147.4756175346942,143.40647401771588,140.65959356336217,136.6933838545801,134.21695917180125,131.07052857090864,128.01910882292268,125.47700842873816,122.6610843267466,119.7269614000992,117.46372831256693,115.5703420508152,112.65474995238459,110.70469488697607,108.91300476281916,106.9559165448512,104.70269298714341,102.81351164219751,100.50487152926969,99.76490653709568,97.97324271191549,97.3936094647139,95.82204173803879,94.09443476817276,93.1452824728266,91.54820477872394,92.11412976852802,91.05547422713602,90.47165979498119,89.44453658403995,89.30016162494928,89.0081502035945,88.82175712512401,88.50009561317884,88.72948260830431,88.96582460711198,89.57898008106008,89.46738175146288,90.3521041245808,90.88253600574969,92.17685505205836,92.95914616122408,94.50349678092377,95.62710818744472,96.42998427910807
431.59,310.66694656954843,310.6906428277432,310.84242463944764,310.9039455113985,310.3131697779966,310.50943515199367,310.34059242556,310.97714065435736,310.957964421688,311.140614485768,311.29559037234316,310.1976457366645,311.3839876225381,310.47166792254603,310.994799290861,310.88316528514645,311.7331972551666,310.81206071089974,311.5429713340186,311.02691644315274,310.3294003842904,311.05621662644586,310.6691288142566,311.1513547089688,310.66433780414366,306.786284867587,297.8000110177195,291.50900150945733,285.18432551334666,277.89169476281614,271.4081495630636,265.0575560367496,260.47004210974774,255.36199362714797,251.07607786151456,245.28560447610118,240.6211824411808,236.5540623225497,230.7014604735764,224.78198270505038,217.9333007836681,213.65821141152023,208.06284279267547,204.3681450146542,199.88519201905743,194.56561396699902,190.03527419225918,185.76978815741626,181.26840935977225,177.56058357421173,174.5781220333484,169.72032647734233,165.5018676985497,161.9966403049229,157.4284935729089,153.86583034517446,149.6467797770803,146.7597475107159,142.71361820241884,140.12709235621756,136.70086268796265,133.55929231628878,130.93720627161798,128.07115606900672,124.95705170922415,122.70368698540035,120.53027118125866,117.6746116092688,115.52488048334601,113.7532824448592,111.69604921325615,109.36282694223783,107.43378448275033,105.06507659933399,104.12500305407558,102.25345508080649,101.63374408933944,100.03231172761713,98.13469572965909,97.22545923000335,95.60825490132817,96.02431074955,95.1057312605268,94.33194263477526,93.43476001466449,93.19039828099821,92.92842108540677,92.71189051980878,92.3005093890698,92.63991054225231,92.8861759166172,93.39937682799557,93.44777104459023,94.19240891687944,94.78293899200844,96.19715810223326,96.86951066954005,98.48389525386213,99.71757708471428,100.30039047685509
431.96,322.61761786772945,322.731430368946,322.74305692946683,323.0847731528642,322.39367480937733,322.630002395705,322.26124944102617,322.96779278466784,322.8085929439078,323.2913214523675,323.4562756158628,322.2884721277636,323.38460617473737,322.50224390352093,323.0954579784835,322.9737277079644,323.88398189036457,322.89277963826737,323.5436106897476,323.20758240801416,322.31013835531934,323.066682466712,322.68974581697387,323.25190423724,322.47508803894857,318.617013485024,309.26072898624403,302.78967291512856,296.2448537601322,288.58226690933793,281.8185326296908,275.22807281534404,270.51050977462285,265.182455786389,260.726527373806,254.6760423497537,249.86159849876663,245.63449870861598,239.53183060813564,233.3524245743813,226.35371806248256,221.79858811408283,216.123042198461,212.21861563532687,207.4755471806076,202.095985940617,197.3057091377465,192.96017129780887,188.20855682107486,184.40079543972226,181.37844197651089,176.30056254038902,171.80209273992998,167.99685220482547,163.47859709391614,159.74604315565475,155.52708553644467,152.41990145806966,148.19385255025747,145.5372255406338,141.95119680501662,138.64947580965486,136.02740411449784,132.93122781126684,129.80714201834908,127.2736456582337,125.16020031170216,122.24447326615294,119.89506607971596,118.0335601268992,116.02618188166109,113.45296089733236,111.47405732330317,109.02528166939823,108.01509957105544,106.20366744969758,105.393878713965,103.73258171719542,101.86495669114538,100.73563598718016,99.2983050239324,99.57449173057208,98.55598829391752,97.77222547456938,96.97498344528908,96.68063493704716,96.46869196721904,96.06202391449352,95.82092316496085,96.08033847620035,96.26652722612236,96.89977357493105,96.93816033771752,97.65271370917809,98.31334197826729,99.72746115240808,100.33987517785592,101.96429372680046,103.27804598198392,103.95079667460207
432.33,335.9582891659105,336.1922179101489,336.1936892194859,336.48560079432997,335.82417984075823,336.0305696394163,335.5319064564925,336.3484449149783,336.33922146612787,336.6220284189668,336.77696085938254,335.7292985188626,336.9852247269367,335.9628198844958,336.54611666610606,336.40429013078233,337.1447665255625,336.23349856563516,336.9542500454764,336.69824837287564,335.5808763263484,336.6271483069781,336.0003628196914,336.5724537655111,335.85583827375336,331.78774210246087,322.13144695476865,315.50034432079974,308.4853820069177,300.64283905585967,293.45891569631806,286.64858959393837,281.68097743949806,276.2129179456301,271.45697688609744,265.08648022340617,260.2620145563524,255.6849350946824,249.39220074269483,243.05286644371213,235.87413534129715,230.84896481664543,225.0132416042466,221.03908625599956,216.06590234215776,210.48635791423493,205.4561440832338,200.91055443820156,195.9587042823776,192.0610073052328,188.92876191967343,183.60079860343586,178.77231778131028,174.84706410472805,170.1187006149234,166.386255966135,161.83739129580908,158.67005540542343,154.15408689809618,151.39735872505008,147.7415309220706,144.2696593030209,141.53760195737766,138.28129955352688,135.08723232747408,132.50360433106712,130.25012944214572,127.25433492303708,124.73525167608584,122.82383780893923,120.71631455006607,117.9930948524268,115.94433016385594,113.34548673946259,112.24519608803541,110.27387981858854,109.55401333859056,107.84285170677369,105.97521765263158,104.68581274435692,103.26835514653659,103.57467271159409,102.42624532730828,101.52250831436349,100.9152068759136,100.44087159309606,100.22896284903128,99.75215730917827,99.51133694085185,99.7607664101484,99.94687853562756,100.58017032186652,100.7285496308449,101.41301850147677,102.16374496452607,103.47776420258292,104.10023968617182,105.89469219973878,107.1085148792535,107.91120287234912
432.7,348.84896046409136,348.9730054513517,349.13432150950507,349.13642843579566,348.6346848721389,348.9311368831275,348.51256347195874,349.20909704528884,349.19984998834775,349.5327353855664,349.68764610290214,348.6401249099618,350.0958432791359,348.67339586547075,349.2967753537285,349.3248525536002,350.1655511607605,349.0542174930029,349.7148894012052,349.59891433773697,348.2116142973774,349.68761414724435,348.8409798224088,349.22300329378237,348.61658850855827,344.44847071989784,334.4321649232931,327.4610157264711,320.2959102537032,312.15341120238145,304.73929876294517,297.5891063725327,292.36144510437333,286.7133801048712,281.71742639838874,275.1569180970587,270.14243061393825,265.38537148074874,258.93257087725397,252.42330831304298,244.86455262011157,239.58934151920812,233.4534410100321,229.51955687667225,224.23625750370792,218.48672988785282,213.24657902872116,208.56093757859412,203.41885174368042,199.3812191707433,195.84908186283604,190.5010346664826,185.55254282269055,181.24727600463058,176.6488041359306,172.6064687766153,167.92769705517344,164.6902093527771,160.00432124593482,157.1174919094664,153.25186503912462,149.58984279638702,146.93779980025747,143.44137129578698,140.05732263659905,137.5635630039005,135.1700585725892,131.94419657992123,129.2854372724558,127.38411549097928,125.10644721847105,122.3832288075213,120.31460300440877,117.49569180952685,116.40529260501528,114.24409218747955,113.60414796321604,111.71312169635195,109.87547861411792,108.42598950153369,107.0884052691408,107.30485369261616,106.176502360699,105.24279115415766,104.61543030653814,104.091108249145,103.79923373084357,103.31229070386304,103.09175071674284,103.2311943440965,103.61722984513277,104.190567068802,104.32893892397226,105.04332329377543,105.88414795078491,107.1480672527578,107.74060419448776,109.7350906726771,110.90898377652313,111.75160907009614
433.08,364.0696499054665,364.1138142774519,364.4449708884436,364.17727844594964,363.93520355301666,364.29171945775,363.7232382445997,364.5397668007427,364.3804954976548,364.7634614593711,364.6283498665168,363.78097363595526,365.3164785489623,363.9039874134991,364.3974518437192,364.48543017703486,365.22635700231524,364.39495585084,364.90554603681886,364.78959830164877,363.3023722135694,364.8880925777878,364.09161350087527,364.53356767416886,363.8373590199794,359.45921902969803,348.9529022963724,341.6217052782415,334.2464527774289,325.8139988123228,317.9496921827244,310.56963711811613,304.9619254088396,299.1738547549025,293.87788805966096,287.03736780513424,282.01285791632364,276.7858196610331,270.1329510154498,263.29376212478826,255.614981176732,250.10972840292098,243.66364580516318,239.52004021682254,233.8066222642189,227.89711191481183,222.55702572949193,217.61133107413255,212.18900319042362,207.95143676234866,204.20941045311108,198.7612771096117,193.57277394627036,189.1674936315576,184.1389104548029,180.00668733873016,175.2280110783045,171.73036746087013,166.94456192749882,163.88762869346152,159.77220818636926,156.14003124903323,153.25800299024215,149.6814449770271,146.10741538651115,143.4335205597835,140.91998578763932,137.57405449780225,134.65562788494384,132.8644006779393,130.4365834725086,127.54336638302374,125.36488321903057,122.4559024220253,121.18539173056222,119.03431029607034,118.40428622634501,116.20339898294588,114.5357466286173,112.95617103593149,111.55845674640995,111.68503956501719,110.54676634093815,109.67308163827057,108.96565977582823,108.33135130130337,108.10951193378588,107.63242770380951,107.26217567576607,107.40163384382684,107.7675906494894,108.47097453862759,108.68933873853544,109.28363632370376,110.30456182856425,111.58837849347796,112.28097855437973,114.0654999151543,115.35946534669192,116.26202624616062
433.45,378.5403212036474,378.4546018186548,378.90560317846285,378.4981060874154,378.28570858439736,378.7922867014613,378.163895260066,378.96041893105325,378.8811240198749,379.17416842597066,378.94903511003656,378.0918000270543,379.67709710116134,378.2245633944741,378.7181105313416,378.9159925998528,379.53714163751306,378.59567477820775,379.46618539254763,379.20026426651015,377.7131101845984,379.32855841805394,378.3922305035926,378.86411720244,378.21810925478434,373.5999476471349,362.75362026489694,354.9323766839128,347.5269810242143,338.7745709588445,330.38007524935176,322.85015389671037,317.08239307371485,311.03431691414363,305.35833757195235,298.3478056787867,293.0932739739095,287.6462560470996,280.8133211500091,273.5642039941191,265.7453984555465,259.9401051054837,253.20384521094883,248.95051083749527,242.76697742576908,236.72748388842967,231.30746067497924,226.19171421452518,220.36915065172641,216.1916486278592,212.28973039627363,206.66151317265846,201.1029989876506,196.5577055314601,191.40901397581015,187.05690014921043,182.10831683766887,178.37052140822385,173.5747962753375,170.2777618778778,165.99254230342328,162.14021474239934,159.208200833122,155.55151671928718,151.7775056956361,148.95347923261681,146.37991491808276,142.8839161546864,139.95581348131378,138.1246783599793,135.39671614091353,132.50350033811822,130.0851560595833,127.1761074920896,125.89548824754206,123.73452266496132,122.85442085097051,120.69366897252421,118.80600759010366,117.41634779310827,115.79850686901415,115.88522054603919,114.80702337432888,113.7533644780647,113.07588320645273,112.42158795735232,112.15978281559812,111.68256109849426,111.34258945165705,111.52206177777491,111.84794195899455,112.57137128556309,112.73972803166279,113.3539411160024,114.45496481482306,115.7786815436528,116.43134306269569,118.28589838809263,119.66993424396155,120.56243244390762
