Wavelength,2013-02-04 15:40:48,2013-02-04 15:41:34,2013-02-04 15:42:20,2013-02-04 15:43:06,2013-02-04 15:43:52,2013-02-04 15:44:38,2013-02-04 15:45:24,2013-02-04 15:46:10,2013-02-04 15:46:56,2013-02-04 15:47:42,2013-02-04 15:48:29,2013-02-04 15:49:15,2013-02-04 15:50:01,2013-02-04 15:50:47,2013-02-04 15:51:33,2013-02-04 15:52:19,2013-02-04 15:53:05,2013-02-04 15:53:51,2013-02-04 15:54:37,2013-02-04 15:55:23,2013-02-04 15:56:09,2013-02-04 15:56:55,2013-02-04 15:57:41,2013-02-04 15:58:27,2013-02-04 15:59:13,2013-02-04 16:00:00,2013-02-04 16:00:46,2013-02-04 16:01:32,2013-02-04 16:02:18,2013-02-04 16:03:04,2013-02-04 16:03:50,2013-02-04 16:04:36,2013-02-04 16:05:22,2013-02-04 16:06:08,2013-02-04 16:06:54,2013-02-04 16:07:40,2013-02-04 16:08:26,2013-02-04 16:09:12,2013-02-04 16:09:58,2013-02-04 16:10:45,2013-02-04 16:11:31,2013-02-04 16:12:17,2013-02-04 16:13:03,2013-02-04 16:13:49,2013-02-04 16:14:35,2013-02-04 16:15:21,2013-02-04 16:16:07,2013-02-04 16:16:53,2013-02-04 16:17:39,2013-02-04 16:18:25,2013-02-04 16:19:11,2013-02-04 16:19:57,2013-02-04 16:20:43,2013-02-04 16:21:30,2013-02-04 16:22:16,2013-02-04 16:23:02,2013-02-04 16:23:52,2013-02-04 16:24:38,2013-02-04 16:25:24,2013-02-04 16:26:10,2013-02-04 16:26:56,2013-02-04 16:27:42,2013-02-04 16:28:28,2013-02-04 16:29:15,2013-02-04 16:30:01,2013-02-04 16:30:47,2013-02-04 16:31:33,2013-02-04 16:32:19,2013-02-04 16:33:05,2013-02-04 16:33:51,2013-02-04 16:34:37,2013-02-04 16:35:23,2013-02-04 16:36:09,2013-02-04 16:36:55,2013-02-04 16:37:41,2013-02-04 16:38:27,2013-02-04 16:39:13,2013-02-04 16:40:00
200.0,305.53,306.31,305.23,305.17,307.22,307.12,305.94,307.59,307.33,307.38,307.67,308.14,307.4,308.56,308.89,308.43,307.55,308.49,308.28,307.58,308.6,307.49,309.67,308.61,308.89,309.5,260.68,261.28,260.72,261.33,260.47,261.04,260.9,261.54,260.21,260.62,261.0,260.97,260.16,261.18,260.12,260.21,259.91,261.67,260.37,261.38,261.99,260.37,261.36,261.24,260.54,261.6,261.55,261.13,261.37,260.71,260.4,261.11,260.16,235.77,235.46,236.07,235.05,236.29,235.96,235.4,235.27,235.87,234.81,234.92,235.51,234.97,233.69,234.31,233.87,234.26,234.93,234.8
201.0,311.67,313.43,312.75,314.12,314.88,315.56,315.47,314.43,315.03,314.76,314.83,314.83,316.14,316.07,315.45,314.77,315.83,316.25,315.91,315.7,315.53,315.52,317.08,316.03,315.16,316.5,263.28,263.53,263.23,263.03,263.04,264.62,263.23,263.14,263.15,264.15,263.21,262.88,263.91,263.88,263.24,263.41,263.34,263.14,263.39,263.15,263.1,262.9,263.66,263.98,264.26,263.8,263.5,262.41,263.5,263.98,263.54,264.47,263.64,235.4,235.94,235.9,235.29,235.86,235.02,235.2,235.24,235.61,234.93,234.92,234.22,234.49,234.68,234.92,234.14,234.07,234.23,233.97
202.0,318.09,319.56,319.12,319.51,319.13,321.08,319.97,320.0,320.26,320.05,320.58,321.78,321.23,321.3,321.2,321.2,321.01,321.17,321.04,320.54,321.61,321.23,322.12,321.26,323.16,321.65,266.3,265.87,265.65,266.02,265.44,266.31,266.04,266.46,266.72,265.06,265.29,266.64,267.08,266.58,266.32,266.12,266.7,266.73,265.56,266.34,266.49,265.56,265.98,266.72,266.51,267.15,266.23,266.29,265.38,266.9,266.53,266.56,266.52,236.71,236.29,236.32,235.99,236.17,235.86,235.43,236.0,235.88,235.38,234.87,234.51,234.34,234.87,234.82,234.81,235.14,234.33,234.19
203.0,323.47,324.9,322.34,324.48,325.61,325.06,326.81,326.34,326.17,324.64,325.97,327.49,326.9,326.86,325.4,327.62,326.96,325.66,326.85,326.66,326.56,326.59,326.94,326.83,327.81,326.21,267.44,268.11,268.43,268.07,268.3,268.23,268.36,267.73,268.31,267.54,267.36,268.33,269.02,267.18,268.61,268.01,268.97,268.11,268.75,267.8,268.95,267.99,267.78,268.55,267.67,268.11,268.78,267.43,269.4,268.29,268.08,268.57,268.33,236.16,236.28,235.14,235.71,236.06,235.26,236.23,235.57,235.04,235.47,234.53,233.95,234.38,234.81,234.29,234.64,234.17,233.86,233.96
204.0,340.97,340.09,340.86,342.99,341.78,343.46,343.22,343.44,343.11,343.06,343.76,345.22,343.72,343.27,344.34,343.8,345.44,344.27,344.75,344.64,343.41,344.05,344.5,343.46,344.69,344.16,274.63,275.47,275.03,274.5,276.2,275.48,274.99,275.86,274.79,274.84,275.4,276.04,275.87,275.26,274.05,275.38,275.7,276.31,275.75,274.53,275.55,275.96,276.33,275.83,275.83,273.96,276.03,275.05,275.49,274.86,275.07,276.91,274.83,236.51,236.71,236.53,237.78,235.58,236.01,235.67,235.5,235.97,235.78,234.55,234.43,234.83,235.65,234.68,234.79,234.85,234.19,234.39
205.0,350.85,349.97,350.84,351.21,351.64,350.26,351.45,352.09,351.87,351.97,352.25,352.8,350.8,351.5,353.14,353.26,352.77,352.56,352.67,352.33,353.19,353.79,352.4,353.32,351.54,352.93,278.94,278.16,279.29,279.02,279.03,279.02,278.02,279.13,278.06,278.85,278.71,278.83,279.51,277.77,278.4,278.53,278.99,278.26,279.24,277.83,279.61,279.08,279.47,279.67,278.81,279.6,279.42,279.58,277.85,278.88,279.6,278.99,278.58,236.75,236.19,236.31,236.62,236.56,236.15,235.33,235.81,235.66,235.58,235.12,234.84,235.54,234.83,234.58,234.45,234.7,233.13,234.92
206.0,360.74,360.87,360.11,362.43,361.6,361.95,362.12,362.55,362.51,361.49,364.02,363.3,363.24,363.75,363.05,362.86,364.87,363.18,363.57,363.1,364.46,362.43,363.25,363.21,362.6,363.67,283.8,283.65,283.59,281.88,283.81,283.32,283.85,284.99,283.63,284.3,283.8,283.79,284.23,282.63,283.06,283.19,283.78,283.25,283.17,282.74,283.9,283.83,283.3,283.82,283.81,284.12,283.63,283.24,284.53,282.89,283.88,284.26,283.68,236.87,237.28,236.65,236.66,236.51,236.41,236.52,236.96,236.76,235.33,235.47,234.98,235.29,235.61,234.7,234.5,235.25,234.47,234.78
207.0,374.82,377.1,376.82,376.46,377.94,377.81,378.11,379.78,378.22,377.47,378.72,377.88,378.24,379.78,378.26,378.72,377.81,378.6,379.68,379.21,379.6,379.57,379.77,379.75,381.35,380.32,289.98,288.52,289.7,289.77,289.99,289.84,288.23,289.46,289.91,290.58,289.27,290.27,290.81,289.55,289.49,289.33,289.81,289.75,290.29,288.86,290.23,290.04,289.58,290.59,289.41,289.95,289.3,290.35,290.67,290.42,289.56,290.94,289.41,236.74,236.95,236.36,237.13,236.27,235.27,235.96,235.51,236.42,236.21,235.23,235.86,234.5,234.31,235.03,235.56,234.17,234.99,235.67
208.0,382.63,383.65,383.14,384.48,383.3,384.08,384.64,384.67,383.24,384.86,385.17,386.35,385.61,384.27,385.69,385.38,385.14,385.26,385.7,385.66,383.22,385.58,385.83,385.27,385.85,385.68,293.25,292.75,292.89,292.88,293.31,292.37,292.73,293.45,292.57,291.64,292.94,292.39,293.21,292.71,291.64,293.84,291.96,292.49,292.51,292.58,292.76,292.45,293.94,292.98,293.72,292.3,292.59,291.65,292.8,293.11,292.13,293.72,292.01,237.36,237.2,236.14,236.73,236.97,235.77,236.39,236.23,236.59,235.96,235.05,236.4,235.5,234.69,235.52,235.91,234.73,234.95,235.15
209.0,395.38,395.48,396.67,397.29,396.39,395.42,396.67,397.51,395.75,397.23,397.25,396.94,397.27,397.68,397.57,398.69,398.01,397.39,398.42,398.38,397.55,397.11,398.78,398.59,397.48,396.8,297.15,298.33,298.14,297.24,296.53,297.76,298.07,297.16,297.56,298.15,298.62,298.42,297.53,298.12,297.67,298.48,298.82,298.29,297.66,298.01,298.53,298.3,297.9,298.61,298.29,298.69,298.1,297.31,297.89,298.08,298.62,298.93,298.41,236.15,236.26,237.23,236.86,236.08,235.69,236.59,236.45,236.53,235.51,235.81,235.53,234.9,235.42,234.48,235.67,235.12,236.2,235.71
